,count,mean,std,min,25%,50%,75%,max
meta__source_row_id,220320.0,110159.5,63601.04999133269,0.0,55079.75,110159.5,165239.25,220319.0
meta__record_id,220320.0,9.224243305095301e+18,5.322366903960984e+18,187376257438242.0,4.6107027457410755e+18,9.220552400407166e+18,1.3818497371687277e+19,1.8446741671061686e+19
Unnamed: 0,220320.0,110159.5,63601.04999133269,0.0,55079.75,110159.5,165239.25,220319.0
sensor_00,210112.0,2.3722208156081623,0.41222735241545866,0.0,2.438831,2.456539,2.499826,2.549016
sensor_01,219951.0,47.59161070051828,3.296665578215087,0.0,46.31076,48.1336784362793,49.47916,56.727430000000005
sensor_02,220301.0,50.86739214871566,3.6668203725843274,33.15972,50.39062,51.6493,52.77777,56.032990000000005
sensor_03,220301.0,43.752481029367594,2.4188865739385483,31.64062,42.838539123535206,44.2274284362793,45.3125,48.220490000000005
sensor_04,220301.0,590.6739358978197,144.02391187922,2.798032,626.6204,632.638916015625,637.61572265625,800.0
sensor_05,220301.0,73.39641389272629,17.298247024722485,0.0,69.97626,75.57679,80.91215,99.99988
sensor_06,215522.0,13.501537443828683,2.1637361938816366,0.01446759,13.34635,13.64294,14.539929999999998,22.25116
sensor_07,214869.0,15.843151868847537,2.2011552715563485,0.0,15.90712,16.16753,16.42795,23.59664
sensor_08,215213.0,15.200721267392854,2.0373904738145554,0.02893518,15.18374,15.49479,15.69734,24.34896
sensor_09,215725.0,14.799209606885523,2.0919634633850315,0.0,15.05353,15.08247,15.11863,25.0
sensor_10,220301.0,41.4703390156575,12.093518712241629,0.0,40.70526,44.291340000000005,47.46376,76.10686
sensor_11,220301.0,41.91831905986677,13.056425240028533,0.0,38.85642,45.36314,49.65654,60.0
sensor_12,220301.0,29.13697472318412,10.113935055478294,0.0,28.68681,32.51583,34.93973,45.0
sensor_13,220301.0,7.078857517628702,6.901754669826305,0.0,1.538516,2.929809,12.85952,31.18755
sensor_14,220299.0,376.8600409188042,113.20638156458504,32.40955,418.10325,420.1062,420.9971,500.0
sensor_15,0.0,,,,,,,
sensor_16,220289.0,416.4728920589373,126.07264165357607,0.0,459.4534,462.8561,464.3027,739.7415
sensor_17,220274.0,421.1275168968804,129.15617462337008,0.0,454.138825,462.02025000000003,466.857075,599.999938964844
sensor_18,220274.0,2.303784945820336,0.7658830562130549,0.0,2.447542,2.5337035,2.587682,4.87325
sensor_19,220304.0,590.8297752058146,199.34581997902157,0.0,662.768975,665.6724,667.1467,878.9179
sensor_20,220304.0,360.80516520640543,101.97411766405138,0.0,398.0215,399.367,400.0884,448.9079
sensor_21,220304.0,796.225942181654,226.67931655486933,95.52766,875.4644,879.6976,882.1299,1107.526
sensor_22,220279.0,459.7928148591413,154.52833747311573,0.0,478.9626,531.8559,534.25485,594.0611
sensor_23,220304.0,922.6092639605436,291.8352800314104,0.0,950.9224,981.925,1090.808,1227.564
sensor_24,220304.0,556.2353971461274,182.29797862993522,0.0,601.15105,625.8735,628.6077250000001,1000.0
sensor_25,220284.0,649.1447986949855,220.8651660025793,0.0,693.9578,740.2035,750.357125,839.575
sensor_26,220300.0,786.4117808913817,246.66360764438673,43.154790000000006,790.4895750000001,861.8696,919.104775,1214.42
sensor_27,220304.0,501.5065890461449,169.8231727343341,0.0,448.29795,494.46844999999996,536.27455,2000.0
sensor_28,220304.0,851.6903389341012,313.0740321112737,4.3193470000000005,782.6826249999999,967.27985,1043.9765000000002,1841.146
sensor_29,220248.0,576.1953046076418,225.7640910751138,0.6365742,518.947225,564.8725,744.021475,1466.281
sensor_30,220059.0,614.5964416421192,195.72687202452107,0.0,627.7778,668.9814,697.2222,1600.0
sensor_31,220304.0,863.3231003812946,283.5447600629353,23.95833,839.0624,917.7083,981.2499,1800.0
sensor_32,220252.0,804.28391483726,260.6023607541599,0.2407161,760.607475,878.8507500000001,943.8776250000001,1839.211
sensor_33,220304.0,486.4059795289533,150.75183581846997,6.460602,489.761075,512.27175,555.163225,1578.6
sensor_34,220304.0,234.97177646741451,88.37606459035518,54.88237,172.4863,226.35604999999998,316.84495,425.5498
sensor_35,220304.0,427.12981662544,141.77251901464962,0.0,353.176625,473.34934999999996,528.891025,694.479125976563
sensor_36,220304.0,593.0338758775227,289.38551127769614,2.26097,288.547575,709.66805,837.3330249999999,984.0607
sensor_37,220304.0,60.787360210701614,37.604883008457165,0.0,28.79922,64.295485,90.8219275,174.9012
sensor_38,220293.0,49.65594644025812,10.540397449605745,24.4791660308838,45.57291,49.47916,53.64583,417.7083
sensor_39,220293.0,36.610444062596066,15.613722837913935,19.27083,32.55208,35.41666,39.0625,547.9166
sensor_40,220293.0,68.84452963303458,21.371138596449008,23.4375,57.8125,66.40625,77.86458,512.7604
sensor_41,220293.0,35.36512621456848,7.898665188403748,20.83333,32.55208,34.8958320617676,37.76041,420.3125
sensor_42,220293.0,35.45345524184766,10.259520723329523,22.1354160308838,32.8125,35.15625,36.979164123535206,374.2188
sensor_43,220293.0,43.879591026367535,11.044403792048778,24.4791660308838,39.58333,42.96875,46.61458,408.5937
sensor_44,220293.0,42.656876743205714,11.57635511123861,25.7523155212402,36.7476844787598,40.50926,45.13889,1000.0
sensor_45,220293.0,43.09498436731266,12.837519873410514,26.331018447876,36.7476844787598,40.21991,44.849540000000005,320.3125
sensor_46,220293.0,48.01858527600042,15.641283544570681,26.331018447876,40.50925827026371,44.849540000000005,51.21528,370.3704
sensor_47,220293.0,44.34090312681603,10.442437087822851,27.199070000000003,39.0625,42.53472,46.58565,303.5301
sensor_48,220293.0,150.88904383577025,82.24495680481613,26.331018447876,83.91203,138.0208,208.3333,561.632
sensor_49,220293.0,57.119968493346114,19.143597715746665,26.62037,47.74306,52.662040000000005,60.76389,464.4097
sensor_50,143303.0,183.04926048700554,65.25865033359082,27.488426208496104,167.5347,193.8657,219.9074,1000.0
sensor_51,204937.0,202.6996667515138,109.58860723922459,27.7777786254883,179.1088,197.338,216.7245,1000.0
