alert_packet_id,packet_start_plot_order_index,packet_end_plot_order_index,packet_row_count,rows_from_packet_start_to_broken,contains_pre_failure_alert,contains_failure_hit,contains_recovery_alert,contains_stable_normal_alert
1,17154,18329,1176,1,1,1,1,0
2,18938,19113,172,-1783,0,0,0,1
3,24520,27902,3380,-7365,0,0,0,1
4,27909,27909,1,-10754,0,0,0,1
5,27926,27959,33,-10771,0,0,0,1
6,27996,28018,17,-10841,0,0,0,1
7,40048,40048,1,-22893,0,0,0,1
8,40893,40929,36,-23738,0,0,0,1
9,41090,41119,28,-23935,0,0,0,1
10,41137,41148,12,-23982,0,0,0,1
11,41163,41170,6,-24008,0,0,0,1
12,41183,41198,12,-24028,0,0,0,1
13,41319,41320,2,-24164,0,0,0,1
14,42339,42343,4,-25184,0,0,0,1
15,42790,42800,11,-25635,0,0,0,1
16,42919,42928,10,-25764,0,0,0,1
17,42950,42954,5,-25795,0,0,0,1
18,45199,45225,24,-28044,0,0,0,1
19,45544,45545,2,-28389,0,0,0,1
20,48765,48775,7,-31610,0,0,0,1
21,48968,48977,10,-31813,0,0,0,1
22,49733,49738,2,-32578,0,0,0,1
23,49768,49771,4,-32613,0,0,0,1
24,49842,49849,7,-32687,0,0,0,1
25,50193,50199,7,-33038,0,0,0,1
26,50207,50207,1,-33052,0,0,0,1
27,50787,50787,1,-33632,0,0,0,1
28,51725,51734,10,-34570,0,0,0,1
29,51855,52029,166,-34700,0,0,0,1
30,52717,52718,2,-35562,0,0,0,1
31,55271,55286,16,-38116,0,0,0,1
32,55406,55418,13,-38251,0,0,0,1
33,55491,55491,1,-38336,0,0,0,1
34,55771,55773,2,-38616,0,0,0,1
35,55787,55818,32,-38632,0,0,0,1
36,56003,56006,3,-38848,0,0,0,1
37,56864,56867,2,-39709,0,0,0,1
38,56893,56893,1,-39738,0,0,0,1
39,57787,57802,16,-40632,0,0,0,1
40,59038,59039,2,-41883,0,0,0,1
41,61234,61241,8,-44079,0,0,0,1
42,69329,69332,4,-52174,0,0,0,1
43,69338,70458,1120,-52183,0,0,0,1
44,70479,71213,735,-53324,0,0,0,1
45,77791,78507,717,-60636,0,0,0,1
46,124427,124446,13,-107272,0,0,0,1
47,124505,124505,1,-107350,0,0,0,1
48,124533,124542,8,-107378,0,0,0,1
49,124578,124805,221,-107423,0,0,0,1
50,124818,124825,8,-107663,0,0,0,1
51,124843,124844,2,-107688,0,0,0,1
52,124851,124886,28,-107696,0,0,0,1
53,124936,124947,7,-107781,0,0,0,1
54,125048,125052,5,-107893,0,0,0,1
55,125069,125072,4,-107914,0,0,0,1
56,125194,125207,11,-108039,0,0,0,1
57,125323,125326,4,-108168,0,0,0,1
58,125335,125343,9,-108180,0,0,0,1
59,125625,125636,9,-108470,0,0,0,1
60,125643,125646,3,-108488,0,0,0,1
61,125673,125675,3,-108518,0,0,0,1
62,125684,125708,22,-108529,0,0,0,1
63,125858,125874,14,-108703,0,0,0,1
64,125930,125931,2,-108775,0,0,0,1
65,126052,126052,1,-108897,0,0,0,1
66,126072,126102,30,-108917,0,0,0,1
67,126111,126124,9,-108956,0,0,0,1
68,126137,126141,5,-108982,0,0,0,1
69,126326,126326,1,-109171,0,0,0,1
70,126384,126389,3,-109229,0,0,0,1
71,126395,126395,1,-109240,0,0,0,1
72,126401,126415,10,-109246,0,0,0,1
73,126426,126523,72,-109271,0,0,0,1
74,126570,126575,3,-109415,0,0,0,1
75,126606,126611,3,-109451,0,0,0,1
76,126628,126628,1,-109473,0,0,0,1
77,126665,126665,1,-109510,0,0,0,1
78,126707,126717,11,-109552,0,0,0,1
79,126728,126730,2,-109573,0,0,0,1
80,126739,126739,1,-109584,0,0,0,1
81,126773,126884,104,-109618,0,0,0,1
82,126892,126933,39,-109737,0,0,0,1
83,126941,136666,9715,-109786,0,0,0,1
84,136750,136762,13,-119595,0,0,0,1
85,136770,136770,1,-119615,0,0,0,1
86,136796,136798,2,-119641,0,0,0,1
87,136804,136804,1,-119649,0,0,0,1
88,141130,141138,9,-123975,0,0,0,1
89,141187,141236,50,-124032,0,0,0,1
90,141245,141249,4,-124090,0,0,0,1
91,141279,141290,8,-124124,0,0,0,1
92,141299,141309,11,-124144,0,0,0,1
