alert_packet_id,packet_start_plot_order_index,packet_end_plot_order_index,packet_row_count,rows_from_packet_start_to_broken,contains_pre_failure_alert,contains_failure_hit,contains_recovery_alert,contains_stable_normal_alert
1,17154,17155,2,1,1,1,0,0
2,17163,17190,28,-8,0,0,1,0
3,17289,17295,6,-134,0,0,0,1
4,17303,17362,55,-148,0,0,0,1
5,17371,17485,113,-216,0,0,0,1
6,17491,17867,368,-336,0,0,0,1
7,17883,17984,100,-728,0,0,0,1
8,17992,18001,8,-837,0,0,0,1
9,18010,18015,4,-855,0,0,0,1
10,18021,18022,2,-866,0,0,0,1
11,18068,18068,1,-913,0,0,0,1
12,18083,18125,36,-928,0,0,0,1
13,18136,18331,190,-981,0,0,0,1
14,18983,18998,14,-1828,0,0,0,1
15,19042,19056,15,-1887,0,0,0,1
16,19063,19087,24,-1908,0,0,0,1
17,19104,19112,9,-1949,0,0,0,1
18,24519,27957,3439,-7364,0,0,0,1
19,27980,28023,42,-10825,0,0,0,1
20,28211,28213,2,-11056,0,0,0,1
21,28221,28228,8,-11066,0,0,0,1
22,45204,45217,14,-28049,0,0,0,1
23,69362,69365,4,-52207,0,0,0,1
24,69373,69387,15,-52218,0,0,0,1
25,69541,69574,28,-52386,0,0,0,1
26,69592,69925,334,-52437,0,0,0,1
27,69944,69944,1,-52789,0,0,0,1
28,69951,71213,1255,-52796,0,0,0,1
29,77793,77797,5,-60638,0,0,0,1
30,77816,77930,112,-60661,0,0,0,1
31,77944,77978,31,-60789,0,0,0,1
32,78001,78027,27,-60846,0,0,0,1
33,78033,78089,57,-60878,0,0,0,1
34,78179,78503,314,-61024,0,0,0,1
35,124741,124741,1,-107586,0,0,0,1
36,127698,127698,1,-110543,0,0,0,1
37,127747,127747,1,-110592,0,0,0,1
38,127762,136672,8910,-110607,0,0,0,1
39,136688,136702,10,-119533,0,0,0,1
40,136711,136711,1,-119556,0,0,0,1
41,136746,136783,32,-119591,0,0,0,1
42,136789,136809,20,-119634,0,0,0,1
43,136896,136899,3,-119741,0,0,0,1
44,141203,141219,17,-124048,0,0,0,1
45,141276,141296,21,-124121,0,0,0,1
46,141316,141321,3,-124161,0,0,0,1
47,155007,155008,2,-137852,0,0,0,1
48,155039,155070,32,-137884,0,0,0,1
49,155076,155076,1,-137921,0,0,0,1
50,155091,155197,100,-137936,0,0,0,1
51,155204,155212,8,-138049,0,0,0,1
52,155266,155279,14,-138111,0,0,0,1
53,157362,157362,1,-140207,0,0,0,1
54,158820,158825,3,-141665,0,0,0,1
55,163860,163861,2,-146705,0,0,0,1
56,164033,164054,22,-146878,0,0,0,1
57,164129,164143,15,-146974,0,0,0,1
58,164162,164188,23,-147007,0,0,0,1
59,166451,166532,82,-149296,0,0,0,1
60,166542,166542,1,-149387,0,0,0,1
61,166555,166631,62,-149400,0,0,0,1
62,166654,166655,2,-149499,0,0,0,1
63,166701,166710,9,-149546,0,0,0,1
64,166740,166755,10,-149585,0,0,0,1
65,166789,166789,1,-149634,0,0,0,1
66,166890,166899,9,-149735,0,0,0,1
67,166943,166953,10,-149788,0,0,0,1
68,166979,167024,42,-149824,0,0,0,1
69,167654,167654,1,-150499,0,0,0,1
70,168934,168934,1,-151779,0,0,0,1
71,172151,172159,9,-154996,0,0,0,1
72,175262,175266,5,-158107,0,0,0,1
73,181133,181138,6,-163978,0,0,0,1
74,181204,181206,3,-164049,0,0,0,1
75,181248,181258,4,-164093,0,0,0,1
76,187769,187775,6,-170614,0,0,0,1
77,188058,188079,22,-170903,0,0,0,1
78,191478,191480,3,-174323,0,0,0,1
79,193286,193294,8,-176131,0,0,0,1
80,193320,193321,2,-176165,0,0,0,1
81,193667,193673,6,-176512,0,0,0,1
82,196983,196995,9,-179828,0,0,0,1
83,197008,197008,1,-179853,0,0,0,1
84,197016,197018,3,-179861,0,0,0,1
85,200073,200075,3,-182918,0,0,0,1
86,200996,200996,1,-183841,0,0,0,1
87,201672,201681,10,-184517,0,0,0,1
88,204327,204327,1,-187172,0,0,0,1
89,204738,204738,1,-187583,0,0,0,1
90,204775,204777,2,-187620,0,0,0,1
91,207607,207725,115,-190452,0,0,0,1
92,207738,207765,27,-190583,0,0,0,1
93,211791,211809,19,-194636,0,0,0,1
94,212769,212771,3,-195614,0,0,0,1
95,213094,213102,5,-195939,0,0,0,1
96,213237,213242,5,-196082,0,0,0,1
97,214337,214337,1,-197182,0,0,0,1
98,214448,214457,10,-197293,0,0,0,1
99,215643,215643,1,-198488,0,0,0,1
100,215838,215849,11,-198683,0,0,0,1
101,215951,215955,5,-198796,0,0,0,1
102,216059,216067,9,-198904,0,0,0,1
103,216082,216085,4,-198927,0,0,0,1
104,216518,216519,2,-199363,0,0,0,1
105,217294,217304,8,-200139,0,0,0,1
106,217315,217324,8,-200160,0,0,0,1
107,219707,219712,6,-202552,0,0,0,1
108,219719,219723,5,-202564,0,0,0,1
109,219770,219773,4,-202615,0,0,0,1
110,219782,219787,5,-202627,0,0,0,1
111,220150,220156,7,-202995,0,0,0,1
