meta__row_id,plot_order_index,meta__record_id,time_index,event_step,event_time,machine_status,episode_phase,detection_class,cascade_final_flag,stage2_score,stage2_model_decision,selected_final_alert_flag,forward_normal_like_run_length,is_broken_row
17154,17154,11031252919804255274,17154,17154,2018-04-12 21:54:00+00:00,NORMAL,pre_failure,early_warning,1,0.6111315707271812,-0.11113157072718116,1,0,0
17155,17155,7306247312672969352,17155,17155,2018-04-12 21:55:00+00:00,BROKEN,failure,failure_hit,1,0.591551954479898,-0.09155195447989795,1,0,1
17163,17163,13012502951683690117,17163,17163,2018-04-12 22:03:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6031268092124108,-0.1031268092124108,1,0,0
17164,17164,18117959071609779637,17164,17164,2018-04-12 22:04:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6114548186274632,-0.1114548186274632,1,0,0
17165,17165,17279807461879477071,17165,17165,2018-04-12 22:05:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6037943168965573,-0.10379431689655727,1,0,0
17166,17166,8494268225196074031,17166,17166,2018-04-12 22:06:00+00:00,RECOVERING,recovery,recovery_alert,1,0.594252392517648,-0.09425239251764805,1,0,0
17167,17167,4206025446141665590,17167,17167,2018-04-12 22:07:00+00:00,RECOVERING,recovery,recovery_alert,1,0.59212799348906,-0.09212799348905998,1,0,0
17168,17168,18000093140899971975,17168,17168,2018-04-12 22:08:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6023062022580624,-0.10230620225806242,1,0,0
17169,17169,7831290092567509806,17169,17169,2018-04-12 22:09:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6082489471854151,-0.10824894718541511,1,0,0
17170,17170,14785262232998047494,17170,17170,2018-04-12 22:10:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6201779673110847,-0.12017796731108465,1,0,0
17171,17171,9449772189020246715,17171,17171,2018-04-12 22:11:00+00:00,RECOVERING,recovery,recovery_alert,1,0.6267368448887233,-0.12673684488872328,1,0,0
