alert_packet_id,packet_start_plot_order_index,packet_end_plot_order_index,packet_row_count,rows_from_packet_start_to_broken,contains_pre_failure_alert,contains_failure_hit,contains_recovery_alert,contains_stable_normal_alert
1,5201,5205,3,11954,1,0,0,0
2,15018,15018,1,2137,1,0,0,0
3,16457,16462,3,698,1,0,0,0
4,16477,16603,101,678,1,0,0,0
5,16609,16609,1,546,1,0,0,0
6,16616,16655,33,539,1,0,0,0
7,16661,16683,18,494,1,0,0,0
8,16695,16709,12,460,1,0,0,0
9,16725,16781,48,430,1,0,0,0
10,16790,16804,12,365,1,0,0,0
11,16810,16872,41,345,1,0,0,0
12,16881,16984,92,274,1,0,0,0
13,17155,17189,34,0,0,1,1,0
14,17204,17221,13,-49,0,0,1,0
15,17230,17232,3,-75,0,0,1,0
16,17255,18071,801,-100,0,0,1,0
17,18079,18413,330,-924,0,0,1,0
18,18425,18425,1,-1270,0,0,1,0
19,18939,18939,1,-1784,0,0,0,1
20,18946,18970,22,-1791,0,0,0,1
21,18976,18998,20,-1821,0,0,0,1
22,19007,19131,120,-1852,0,0,0,1
23,19137,19154,11,-1982,0,0,0,1
24,19444,19444,1,-2289,0,0,0,1
25,19450,19460,7,-2295,0,0,0,1
26,19471,19471,1,-2316,0,0,0,1
27,19495,19497,2,-2340,0,0,0,1
28,19504,19504,1,-2349,0,0,0,1
29,19515,19526,8,-2360,0,0,0,1
30,19533,19536,4,-2378,0,0,0,1
31,19543,19555,5,-2388,0,0,0,1
32,19592,19592,1,-2437,0,0,0,1
33,19606,19606,1,-2451,0,0,0,1
34,19622,19622,1,-2467,0,0,0,1
35,19637,19641,2,-2482,0,0,0,1
36,19661,19661,1,-2506,0,0,0,1
37,19678,19704,19,-2523,0,0,0,1
38,19819,19819,1,-2664,0,0,0,1
39,19876,19876,1,-2721,0,0,0,1
40,20773,20773,1,-3618,0,0,0,1
41,20781,20793,11,-3626,0,0,0,1
42,20804,20817,6,-3649,0,0,0,1
43,20826,20842,8,-3671,0,0,0,1
44,20860,20868,5,-3705,0,0,0,1
45,20875,20881,3,-3720,0,0,0,1
46,20936,20936,1,-3781,0,0,0,1
47,24472,24473,2,-7317,0,0,0,1
48,24511,27971,3461,-7356,0,0,0,1
49,27982,27984,2,-10827,0,0,0,1
50,27992,28442,444,-10837,0,0,0,1
51,28505,28505,1,-11350,0,0,0,1
52,28524,28524,1,-11369,0,0,0,1
53,28531,28531,1,-11376,0,0,0,1
54,28824,28835,12,-11669,0,0,0,1
55,28842,28852,5,-11687,0,0,0,1
56,28858,28858,1,-11703,0,0,0,1
57,28879,28879,1,-11724,0,0,0,1
58,28957,28957,1,-11802,0,0,0,1
59,39631,39631,1,-22476,0,0,0,1
60,39640,39642,2,-22485,0,0,0,1
61,39660,39667,8,-22505,0,0,0,1
62,39680,39749,64,-22525,0,0,0,1
63,39756,40351,581,-22601,0,0,0,1
64,40361,40557,176,-23206,0,0,0,1
65,40566,40600,23,-23411,0,0,0,1
66,40612,41370,751,-23457,0,0,0,1
67,41409,41424,7,-24254,0,0,0,1
68,41480,41480,1,-24325,0,0,0,1
69,41504,41510,3,-24349,0,0,0,1
70,41551,41570,13,-24396,0,0,0,1
71,41583,41584,2,-24428,0,0,0,1
72,41594,41686,74,-24439,0,0,0,1
73,41729,41729,1,-24574,0,0,0,1
74,41788,41806,17,-24633,0,0,0,1
75,41813,41815,3,-24658,0,0,0,1
76,41866,41866,1,-24711,0,0,0,1
77,41874,41877,2,-24719,0,0,0,1
78,41885,41888,2,-24730,0,0,0,1
79,41913,41913,1,-24758,0,0,0,1
80,41947,41948,2,-24792,0,0,0,1
81,41954,41959,2,-24799,0,0,0,1
82,42530,42530,1,-25375,0,0,0,1
83,42589,42589,1,-25434,0,0,0,1
84,42670,42670,1,-25515,0,0,0,1
85,42970,42984,11,-25815,0,0,0,1
86,42993,42993,1,-25838,0,0,0,1
87,42999,43010,8,-25844,0,0,0,1
88,43260,44254,983,-26105,0,0,0,1
89,44263,45950,1684,-27108,0,0,0,1
90,45962,45969,5,-28807,0,0,0,1
91,45975,45978,3,-28820,0,0,0,1
92,45984,45985,2,-28829,0,0,0,1
93,45992,45992,1,-28837,0,0,0,1
94,45998,45998,1,-28843,0,0,0,1
95,46004,46051,45,-28849,0,0,0,1
96,46059,46521,427,-28904,0,0,0,1
97,46539,46543,2,-29384,0,0,0,1
98,46551,46553,3,-29396,0,0,0,1
99,46560,48662,2091,-29405,0,0,0,1
100,48680,49010,319,-31525,0,0,0,1
101,49025,49025,1,-31870,0,0,0,1
102,49039,49039,1,-31884,0,0,0,1
103,49118,49118,1,-31963,0,0,0,1
104,49226,49226,1,-32071,0,0,0,1
105,49242,49245,2,-32087,0,0,0,1
106,49251,49258,4,-32096,0,0,0,1
107,49264,49343,69,-32109,0,0,0,1
108,49352,49431,70,-32197,0,0,0,1
109,49440,49448,8,-32285,0,0,0,1
110,49675,49789,110,-32520,0,0,0,1
111,49823,49823,1,-32668,0,0,0,1
112,49851,50211,356,-32696,0,0,0,1
113,50297,50314,17,-33142,0,0,0,1
114,50667,50667,1,-33512,0,0,0,1
115,50741,50748,3,-33586,0,0,0,1
116,51052,51072,10,-33897,0,0,0,1
117,51083,51086,3,-33928,0,0,0,1
118,51100,51104,5,-33945,0,0,0,1
119,51110,51110,1,-33955,0,0,0,1
120,51561,51561,1,-34406,0,0,0,1
121,51569,51571,2,-34414,0,0,0,1
122,51578,51579,2,-34423,0,0,0,1
123,52188,52196,9,-35033,0,0,0,1
124,52203,52211,9,-35048,0,0,0,1
125,52230,52236,4,-35075,0,0,0,1
126,52243,52247,3,-35088,0,0,0,1
127,52260,52319,55,-35105,0,0,0,1
128,52325,52325,1,-35170,0,0,0,1
129,52331,52342,9,-35176,0,0,0,1
130,52349,53011,642,-35194,0,0,0,1
131,53032,53221,184,-35877,0,0,0,1
132,53232,53232,1,-36077,0,0,0,1
133,53238,54491,1238,-36083,0,0,0,1
134,54499,54499,1,-37344,0,0,0,1
135,54508,54522,15,-37353,0,0,0,1
136,54530,54566,27,-37375,0,0,0,1
137,54573,54579,5,-37418,0,0,0,1
138,54598,54608,6,-37443,0,0,0,1
139,54623,55864,1225,-37468,0,0,0,1
140,55871,55961,70,-38716,0,0,0,1
141,55968,56453,456,-38813,0,0,0,1
142,56462,56465,2,-39307,0,0,0,1
143,56491,57048,534,-39336,0,0,0,1
144,57110,57116,4,-39955,0,0,0,1
145,57125,57210,83,-39970,0,0,0,1
146,57218,57612,381,-40063,0,0,0,1
147,57618,58451,817,-40463,0,0,0,1
148,58457,58459,3,-41302,0,0,0,1
149,58467,60393,1901,-41312,0,0,0,1
150,60400,60400,1,-43245,0,0,0,1
151,60428,60428,1,-43273,0,0,0,1
152,60436,60441,2,-43281,0,0,0,1
153,60448,60448,1,-43293,0,0,0,1
154,60458,60637,167,-43303,0,0,0,1
155,60648,60653,4,-43493,0,0,0,1
156,60659,60911,249,-43504,0,0,0,1
157,60918,60920,3,-43763,0,0,0,1
158,60926,60926,1,-43771,0,0,0,1
159,60934,60962,24,-43779,0,0,0,1
160,60975,60993,14,-43820,0,0,0,1
161,61004,61605,599,-43849,0,0,0,1
162,61611,61619,9,-44456,0,0,0,1
163,61627,62395,762,-44472,0,0,0,1
164,62407,63850,1439,-45252,0,0,0,1
165,63858,63865,7,-46703,0,0,0,1
166,63880,64474,588,-46725,0,0,0,1
167,64548,64764,190,-47393,0,0,0,1
168,69625,69625,1,-52470,0,0,0,1
169,69658,69700,42,-52503,0,0,0,1
170,69706,69712,6,-52551,0,0,0,1
171,69721,69951,212,-52566,0,0,0,1
172,69957,70199,234,-52802,0,0,0,1
173,70208,70310,103,-53053,0,0,0,1
174,70316,70394,71,-53161,0,0,0,1
175,70401,71179,764,-53246,0,0,0,1
176,71196,71196,1,-54041,0,0,0,1
177,71211,71243,24,-54056,0,0,0,1
178,77808,77808,1,-60653,0,0,0,1
179,77818,77818,1,-60663,0,0,0,1
180,77830,77844,10,-60675,0,0,0,1
181,77859,78611,746,-60704,0,0,0,1
182,123324,123333,7,-106169,0,0,0,1
183,123819,123852,32,-106664,0,0,0,1
184,123869,123888,20,-106714,0,0,0,1
185,123905,123908,3,-106750,0,0,0,1
186,123974,124004,29,-106819,0,0,0,1
187,124012,124013,2,-106857,0,0,0,1
188,124030,124040,10,-106875,0,0,0,1
189,124050,124050,1,-106895,0,0,0,1
190,124085,124092,7,-106930,0,0,0,1
191,124213,124237,19,-107058,0,0,0,1
192,124276,124279,4,-107121,0,0,0,1
193,124285,124285,1,-107130,0,0,0,1
194,124298,124302,2,-107143,0,0,0,1
195,124308,124308,1,-107153,0,0,0,1
196,124333,124338,6,-107178,0,0,0,1
197,124350,124350,1,-107195,0,0,0,1
198,124356,124359,4,-107201,0,0,0,1
199,124393,124393,1,-107238,0,0,0,1
200,124404,124831,427,-107249,0,0,0,1
201,124845,125182,326,-107690,0,0,0,1
202,125194,125228,33,-108039,0,0,0,1
203,125234,125241,5,-108079,0,0,0,1
204,125247,125255,7,-108092,0,0,0,1
205,125262,125343,62,-108107,0,0,0,1
206,125572,125574,3,-108417,0,0,0,1
207,125580,125596,11,-108425,0,0,0,1
208,125602,125605,3,-108447,0,0,0,1
209,125611,125709,96,-108456,0,0,0,1
210,125810,136807,10997,-108655,0,0,0,1
211,136816,136826,8,-119661,0,0,0,1
212,136839,137169,285,-119684,0,0,0,1
213,138171,138171,1,-121016,0,0,0,1
214,141130,141133,4,-123975,0,0,0,1
