alert_packet_id,packet_start_plot_order_index,packet_end_plot_order_index,packet_row_count,rows_from_packet_start_to_broken,contains_pre_failure_alert,contains_failure_hit,contains_recovery_alert,contains_stable_normal_alert
1,17154,17154,1,1,1,0,0,0
2,17164,17164,1,-9,0,0,1,0
3,17170,17187,18,-15,0,0,1,0
4,17482,17482,1,-327,0,0,0,1
5,17827,17827,1,-672,0,0,0,1
6,17895,17899,4,-740,0,0,0,1
7,17939,17939,1,-784,0,0,0,1
8,18101,18101,1,-946,0,0,0,1
9,18227,18227,1,-1072,0,0,0,1
10,18251,18322,72,-1096,0,0,0,1
11,19044,19047,4,-1889,0,0,0,1
12,24578,27956,3368,-7423,0,0,0,1
13,27979,27988,10,-10824,0,0,0,1
14,28001,28023,17,-10846,0,0,0,1
15,28211,28213,2,-11056,0,0,0,1
16,28221,28228,8,-11066,0,0,0,1
17,69658,69669,10,-52503,0,0,0,1
18,69677,69690,10,-52522,0,0,0,1
19,69740,69740,1,-52585,0,0,0,1
20,70036,70036,1,-52881,0,0,0,1
21,70048,70060,12,-52893,0,0,0,1
22,70066,70077,5,-52911,0,0,0,1
23,70123,70139,11,-52968,0,0,0,1
24,70164,70166,2,-53009,0,0,0,1
25,70184,70197,14,-53029,0,0,0,1
26,70206,70807,593,-53051,0,0,0,1
27,70813,70813,1,-53658,0,0,0,1
28,70821,70824,4,-53666,0,0,0,1
29,70833,70835,3,-53678,0,0,0,1
30,70841,70841,1,-53686,0,0,0,1
31,70851,70880,30,-53696,0,0,0,1
32,70896,71127,226,-53741,0,0,0,1
33,71133,71164,31,-53978,0,0,0,1
34,71210,71210,1,-54055,0,0,0,1
35,77857,77898,42,-60702,0,0,0,1
36,77948,77958,11,-60793,0,0,0,1
37,78003,78018,16,-60848,0,0,0,1
38,78037,78066,29,-60882,0,0,0,1
39,78293,78333,32,-61138,0,0,0,1
40,78340,78340,1,-61185,0,0,0,1
41,78383,78388,5,-61228,0,0,0,1
42,78413,78413,1,-61258,0,0,0,1
43,78419,78421,3,-61264,0,0,0,1
44,78428,78429,2,-61273,0,0,0,1
45,78440,78440,1,-61285,0,0,0,1
46,127787,136625,8831,-110632,0,0,0,1
47,136632,136672,37,-119477,0,0,0,1
48,136746,136783,32,-119591,0,0,0,1
49,136789,136808,19,-119634,0,0,0,1
50,136899,136899,1,-119744,0,0,0,1
51,141281,141290,6,-124126,0,0,0,1
52,155007,155007,1,-137852,0,0,0,1
53,155039,155059,19,-137884,0,0,0,1
54,155076,155076,1,-137921,0,0,0,1
55,155091,155139,48,-137936,0,0,0,1
56,155155,155161,6,-138000,0,0,0,1
57,155190,155192,3,-138035,0,0,0,1
58,155208,155212,5,-138053,0,0,0,1
59,155267,155279,13,-138112,0,0,0,1
60,157362,157362,1,-140207,0,0,0,1
61,164034,164039,4,-146879,0,0,0,1
62,164049,164053,5,-146894,0,0,0,1
63,164130,164140,6,-146975,0,0,0,1
64,164162,164188,22,-147007,0,0,0,1
65,166451,166522,67,-149296,0,0,0,1
66,166566,166566,1,-149411,0,0,0,1
67,166586,166624,39,-149431,0,0,0,1
68,166986,166999,12,-149831,0,0,0,1
69,167012,167024,11,-149857,0,0,0,1
70,188058,188079,17,-170903,0,0,0,1
71,193287,193287,1,-176132,0,0,0,1
72,201672,201679,8,-184517,0,0,0,1
73,204327,204327,1,-187172,0,0,0,1
74,207612,207612,1,-190457,0,0,0,1
75,207633,207644,11,-190478,0,0,0,1
76,207663,207688,26,-190508,0,0,0,1
77,207756,207761,6,-190601,0,0,0,1
78,211792,211804,12,-194637,0,0,0,1
79,212769,212771,3,-195614,0,0,0,1
80,215841,215842,2,-198686,0,0,0,1
81,215951,215954,4,-198796,0,0,0,1
82,216064,216065,2,-198909,0,0,0,1
83,216518,216518,1,-199363,0,0,0,1
84,219710,219712,3,-202555,0,0,0,1
85,219786,219786,1,-202631,0,0,0,1
