meta__row_id,meta__record_id,time_index,event_step,meta__asset_id,meta__run_id,machine_status,anomaly_flag,baseline_flag,baseline_score,plot_order_index,event_time
17154,11031252919804255274,17154,17154,asset__001,run__001,NORMAL,0,1,0.568582545481038,17154,2018-04-12 21:54:00+00:00
17155,7306247312672969352,17155,17155,asset__001,run__001,BROKEN,1,1,0.5779823909551813,17155,2018-04-12 21:55:00+00:00
17156,16171677129378469200,17156,17156,asset__001,run__001,RECOVERING,1,1,0.5746712417893537,17156,2018-04-12 21:56:00+00:00
17157,14211091896624741348,17157,17157,asset__001,run__001,RECOVERING,1,1,0.5981549839813292,17157,2018-04-12 21:57:00+00:00
17158,313266691668351730,17158,17158,asset__001,run__001,RECOVERING,1,1,0.5793113923284525,17158,2018-04-12 21:58:00+00:00
17159,5086261863442700928,17159,17159,asset__001,run__001,RECOVERING,1,1,0.5827063513700692,17159,2018-04-12 21:59:00+00:00
17160,11141286012755120792,17160,17160,asset__001,run__001,RECOVERING,1,1,0.5836541057100143,17160,2018-04-12 22:00:00+00:00
17161,12435410761567819601,17161,17161,asset__001,run__001,RECOVERING,1,1,0.5836541057100143,17161,2018-04-12 22:01:00+00:00
17162,16834369260743897814,17162,17162,asset__001,run__001,RECOVERING,1,1,0.581123498655277,17162,2018-04-12 22:02:00+00:00
17163,13012502951683690117,17163,17163,asset__001,run__001,RECOVERING,1,1,0.6009894956254191,17163,2018-04-12 22:03:00+00:00
17164,18117959071609779637,17164,17164,asset__001,run__001,RECOVERING,1,1,0.616848388993185,17164,2018-04-12 22:04:00+00:00
17165,17279807461879477071,17165,17165,asset__001,run__001,RECOVERING,1,1,0.6171440228937889,17165,2018-04-12 22:05:00+00:00
17166,8494268225196074031,17166,17166,asset__001,run__001,RECOVERING,1,1,0.6161773006941014,17166,2018-04-12 22:06:00+00:00
17167,4206025446141665590,17167,17167,asset__001,run__001,RECOVERING,1,1,0.6159865742079054,17167,2018-04-12 22:07:00+00:00
17168,18000093140899971975,17168,17168,asset__001,run__001,RECOVERING,1,1,0.610912267735941,17168,2018-04-12 22:08:00+00:00
17169,7831290092567509806,17169,17169,asset__001,run__001,RECOVERING,1,1,0.6122347044952582,17169,2018-04-12 22:09:00+00:00
17170,14785262232998047494,17170,17170,asset__001,run__001,RECOVERING,1,1,0.6196146015693291,17170,2018-04-12 22:10:00+00:00
17171,9449772189020246715,17171,17171,asset__001,run__001,RECOVERING,1,1,0.6118294783763313,17171,2018-04-12 22:11:00+00:00
17172,4736858159368436291,17172,17172,asset__001,run__001,RECOVERING,1,1,0.6161482658828614,17172,2018-04-12 22:12:00+00:00
17173,566029785064562887,17173,17173,asset__001,run__001,RECOVERING,1,1,0.6300701233330583,17173,2018-04-12 22:13:00+00:00
17174,6509300395581291986,17174,17174,asset__001,run__001,RECOVERING,1,1,0.6272266840780745,17174,2018-04-12 22:14:00+00:00
17175,12388438466426048338,17175,17175,asset__001,run__001,RECOVERING,1,1,0.6339466660060966,17175,2018-04-12 22:15:00+00:00
17176,10276256917482118888,17176,17176,asset__001,run__001,RECOVERING,1,1,0.6352657536618898,17176,2018-04-12 22:16:00+00:00
17177,6950846319895098297,17177,17177,asset__001,run__001,RECOVERING,1,1,0.6328157503429723,17177,2018-04-12 22:17:00+00:00
17178,2030514300273045390,17178,17178,asset__001,run__001,RECOVERING,1,1,0.6302116199587927,17178,2018-04-12 22:18:00+00:00
17179,4878410307507881214,17179,17179,asset__001,run__001,RECOVERING,1,1,0.6348347527486523,17179,2018-04-12 22:19:00+00:00
17180,8748939472429564922,17180,17180,asset__001,run__001,RECOVERING,1,1,0.6335551600757742,17180,2018-04-12 22:20:00+00:00
17181,14996039685110361878,17181,17181,asset__001,run__001,RECOVERING,1,1,0.6325262441109089,17181,2018-04-12 22:21:00+00:00
17182,7206084458209524558,17182,17182,asset__001,run__001,RECOVERING,1,1,0.6320613818785821,17182,2018-04-12 22:22:00+00:00
17183,13435382613750051440,17183,17183,asset__001,run__001,RECOVERING,1,1,0.6307247504436897,17183,2018-04-12 22:23:00+00:00
17184,4790881740089207053,17184,17184,asset__001,run__001,RECOVERING,1,1,0.6277322354239393,17184,2018-04-12 22:24:00+00:00
17185,5594960114756786481,17185,17185,asset__001,run__001,RECOVERING,1,1,0.6300696428884069,17185,2018-04-12 22:25:00+00:00
17186,13288318740863859288,17186,17186,asset__001,run__001,RECOVERING,1,1,0.6254017829489673,17186,2018-04-12 22:26:00+00:00
17187,765852411956205598,17187,17187,asset__001,run__001,RECOVERING,1,1,0.620609211493749,17187,2018-04-12 22:27:00+00:00
17188,13712752296133800681,17188,17188,asset__001,run__001,RECOVERING,1,1,0.6116350412125796,17188,2018-04-12 22:28:00+00:00
17189,13018197571698246656,17189,17189,asset__001,run__001,RECOVERING,1,1,0.6036268763507574,17189,2018-04-12 22:29:00+00:00
17190,17157952515859033290,17190,17190,asset__001,run__001,RECOVERING,1,1,0.5998186766284992,17190,2018-04-12 22:30:00+00:00
17191,14586455544530579505,17191,17191,asset__001,run__001,RECOVERING,1,1,0.5974039546389932,17191,2018-04-12 22:31:00+00:00
17192,12915779517460106405,17192,17192,asset__001,run__001,RECOVERING,1,1,0.5970708120402725,17192,2018-04-12 22:32:00+00:00
17193,8043987690839002175,17193,17193,asset__001,run__001,RECOVERING,1,1,0.5950126277921756,17193,2018-04-12 22:33:00+00:00
17194,11196436361246060112,17194,17194,asset__001,run__001,RECOVERING,1,1,0.5976028949299612,17194,2018-04-12 22:34:00+00:00
17195,1339524826780686212,17195,17195,asset__001,run__001,RECOVERING,1,1,0.5915504339883609,17195,2018-04-12 22:35:00+00:00
