meta__row_id,meta__record_id,time_index,event_step,meta__asset_id,meta__run_id,machine_status,anomaly_flag,cascade_final_flag,stage2_score,stage2_model_decision,stage2_model_pred,stage1_flag,stage2_raw_flag,stage2_flag,stage3_profile_breach_count,stage3_secondary_breach_count,stage3_persistence_flag,stage3_drift_flag,stage3_rule_evidence_count,plot_order_index,event_time
17154,11031252919804255274,17154,17154,asset__001,run__001,NORMAL,0,1,0.6080002852303222,-0.1080002852303222,-1.0,1,1,1,1,3,0,1,2,17154,2018-04-12 21:54:00+00:00
17164,18117959071609779637,17164,17164,asset__001,run__001,RECOVERING,1,1,0.6081135559862265,-0.1081135559862265,-1.0,1,1,1,1,3,0,1,2,17164,2018-04-12 22:04:00+00:00
17170,14785262232998047494,17170,17170,asset__001,run__001,RECOVERING,1,1,0.6132243939035682,-0.1132243939035682,-1.0,1,1,1,1,3,0,1,2,17170,2018-04-12 22:10:00+00:00
17171,9449772189020246715,17171,17171,asset__001,run__001,RECOVERING,1,1,0.6182431571907065,-0.1182431571907065,-1.0,1,1,1,1,3,1,1,3,17171,2018-04-12 22:11:00+00:00
17172,4736858159368436291,17172,17172,asset__001,run__001,RECOVERING,1,1,0.6201132826034859,-0.1201132826034858,-1.0,1,1,1,1,3,1,0,2,17172,2018-04-12 22:12:00+00:00
17173,566029785064562887,17173,17173,asset__001,run__001,RECOVERING,1,1,0.625703711487749,-0.1257037114877489,-1.0,1,1,1,1,4,1,0,2,17173,2018-04-12 22:13:00+00:00
17174,6509300395581291986,17174,17174,asset__001,run__001,RECOVERING,1,1,0.6195649449572018,-0.1195649449572018,-1.0,1,1,1,1,4,1,0,2,17174,2018-04-12 22:14:00+00:00
17175,12388438466426048338,17175,17175,asset__001,run__001,RECOVERING,1,1,0.6299231560358428,-0.1299231560358428,-1.0,1,1,1,1,4,1,0,2,17175,2018-04-12 22:15:00+00:00
17176,10276256917482118888,17176,17176,asset__001,run__001,RECOVERING,1,1,0.628254066749203,-0.128254066749203,-1.0,1,1,1,1,4,1,0,2,17176,2018-04-12 22:16:00+00:00
17177,6950846319895098297,17177,17177,asset__001,run__001,RECOVERING,1,1,0.6291293903873131,-0.129129390387313,-1.0,1,1,1,1,4,1,0,2,17177,2018-04-12 22:17:00+00:00
17178,2030514300273045390,17178,17178,asset__001,run__001,RECOVERING,1,1,0.625807509967406,-0.1258075099674059,-1.0,1,1,1,1,4,1,0,2,17178,2018-04-12 22:18:00+00:00
17179,4878410307507881214,17179,17179,asset__001,run__001,RECOVERING,1,1,0.6242281579375558,-0.1242281579375558,-1.0,1,1,1,1,4,1,0,2,17179,2018-04-12 22:19:00+00:00
17180,8748939472429564922,17180,17180,asset__001,run__001,RECOVERING,1,1,0.6197570958963002,-0.1197570958963002,-1.0,1,1,1,1,4,1,0,2,17180,2018-04-12 22:20:00+00:00
17181,14996039685110361878,17181,17181,asset__001,run__001,RECOVERING,1,1,0.6306484163995884,-0.1306484163995883,-1.0,1,1,1,1,4,1,0,2,17181,2018-04-12 22:21:00+00:00
17182,7206084458209524558,17182,17182,asset__001,run__001,RECOVERING,1,1,0.6241030503108247,-0.1241030503108246,-1.0,1,1,1,1,4,1,0,2,17182,2018-04-12 22:22:00+00:00
17183,13435382613750051440,17183,17183,asset__001,run__001,RECOVERING,1,1,0.6263538085224187,-0.1263538085224187,-1.0,1,1,1,1,4,1,0,2,17183,2018-04-12 22:23:00+00:00
17184,4790881740089207053,17184,17184,asset__001,run__001,RECOVERING,1,1,0.6230926569693859,-0.1230926569693858,-1.0,1,1,1,1,4,1,0,2,17184,2018-04-12 22:24:00+00:00
17185,5594960114756786481,17185,17185,asset__001,run__001,RECOVERING,1,1,0.6263538085224187,-0.1263538085224187,-1.0,1,1,1,1,4,1,0,2,17185,2018-04-12 22:25:00+00:00
17186,13288318740863859288,17186,17186,asset__001,run__001,RECOVERING,1,1,0.6220275450215768,-0.1220275450215767,-1.0,1,1,1,1,4,1,0,2,17186,2018-04-12 22:26:00+00:00
17187,765852411956205598,17187,17187,asset__001,run__001,RECOVERING,1,1,0.6148524601245792,-0.1148524601245791,-1.0,1,1,1,1,4,1,0,2,17187,2018-04-12 22:27:00+00:00
