feature,feature_cluster
sensor_05,cluster_00
sensor_06,cluster_00
sensor_07,cluster_00
sensor_08,cluster_00
sensor_09,cluster_00
sensor_10,cluster_00
sensor_11,cluster_00
sensor_12,cluster_00
sensor_13,cluster_00
sensor_22,cluster_00
sensor_23,cluster_00
sensor_25,cluster_00
sensor_26,cluster_00
sensor_27,cluster_00
sensor_28,cluster_00
sensor_29,cluster_00
sensor_30,cluster_00
sensor_34,cluster_00
sensor_35,cluster_00
sensor_36,cluster_00
sensor_37,cluster_00
sensor_40,cluster_00
sensor_43,cluster_00
sensor_44,cluster_00
sensor_45,cluster_00
sensor_46,cluster_00
sensor_47,cluster_00
sensor_48,cluster_00
sensor_49,cluster_00
sensor_31,cluster_01
sensor_32,cluster_01
sensor_33,cluster_01
sensor_01,cluster_02
sensor_02,cluster_02
sensor_03,cluster_02
sensor_38,cluster_02
sensor_39,cluster_02
sensor_41,cluster_02
sensor_42,cluster_02
sensor_14,cluster_03
sensor_16,cluster_03
sensor_17,cluster_03
sensor_18,cluster_03
sensor_24,cluster_04
sensor_51,cluster_05
sensor_00,cluster_06
sensor_04,cluster_06
sensor_19,cluster_07
sensor_20,cluster_07
sensor_21,cluster_07
