sensor_a,sensor_b,correlation,abs_correlation
sensor_17,sensor_18,0.9919005570529897,0.9919005570529897
sensor_40,sensor_43,0.8534252089436858,0.8534252089436858
sensor_14,sensor_16,0.8271437680892899,0.8271437680892899
sensor_41,sensor_42,0.8266127386509379,0.8266127386509379
sensor_00,sensor_04,0.7911893341444219,0.7911893341444219
sensor_23,sensor_35,0.7747303205796705,0.7747303205796705
sensor_23,sensor_37,-0.7726929335492982,0.7726929335492982
sensor_06,sensor_23,0.7631674996031541,0.7631674996031541
sensor_38,sensor_41,0.7625494146085154,0.7625494146085154
sensor_19,sensor_21,0.7564963615973002,0.7564963615973002
sensor_22,sensor_23,0.6985184355148254,0.6985184355148254
sensor_06,sensor_37,-0.6982612456494898,0.6982612456494898
sensor_39,sensor_42,0.6974971567792716,0.6974971567792716
sensor_45,sensor_46,0.6833130850503791,0.6833130850503791
sensor_07,sensor_08,0.673924260752628,0.673924260752628
sensor_34,sensor_36,0.6703955989820927,0.6703955989820927
sensor_35,sensor_37,-0.6606632711090502,0.6606632711090502
sensor_26,sensor_34,0.6583395639172758,0.6583395639172758
sensor_13,sensor_23,0.6563204927015825,0.6563204927015825
sensor_34,sensor_35,0.6555518240336231,0.6555518240336231
sensor_35,sensor_36,0.652803001349199,0.652803001349199
sensor_06,sensor_35,0.6410501292440166,0.6410501292440166
sensor_29,sensor_35,-0.6313954586219058,0.6313954586219058
sensor_06,sensor_13,0.6229197160274337,0.6229197160274337
sensor_22,sensor_37,-0.6133609195211961,0.6133609195211961
sensor_08,sensor_09,0.5845542501669998,0.5845542501669998
sensor_11,sensor_23,0.5830660706060988,0.5830660706060988
sensor_23,sensor_48,0.5786262714767022,0.5786262714767022
sensor_44,sensor_49,0.5708166294438292,0.5708166294438292
sensor_06,sensor_07,0.5656888779850286,0.5656888779850286
sensor_06,sensor_48,0.561637817414896,0.561637817414896
sensor_13,sensor_37,-0.5524893266523107,0.5524893266523107
sensor_39,sensor_41,0.5515757557822433,0.5515757557822433
sensor_19,sensor_20,0.5495605181045021,0.5495605181045021
sensor_22,sensor_35,0.5446363946567891,0.5446363946567891
sensor_44,sensor_47,0.5440804051716112,0.5440804051716112
sensor_22,sensor_36,0.5404958816697131,0.5404958816697131
sensor_48,sensor_49,0.5384612467404619,0.5384612467404619
sensor_11,sensor_13,0.5380830122208391,0.5380830122208391
sensor_06,sensor_11,0.5285535292063401,0.5285535292063401
sensor_11,sensor_48,0.5273836416935866,0.5273836416935866
sensor_25,sensor_26,0.51672911182266,0.51672911182266
sensor_20,sensor_21,0.514948522693923,0.514948522693923
sensor_07,sensor_11,0.5074950580411877,0.5074950580411877
sensor_36,sensor_37,-0.5039626186510257,0.5039626186510257
sensor_26,sensor_36,0.5026597249783852,0.5026597249783852
sensor_23,sensor_36,0.5008997738255775,0.5008997738255775
sensor_11,sensor_30,0.49437364177547366,0.49437364177547366
sensor_13,sensor_48,0.493579972478413,0.493579972478413
sensor_02,sensor_03,0.48987757148467875,0.48987757148467875
sensor_23,sensor_29,-0.4893477152306952,0.4893477152306952
sensor_29,sensor_37,0.48413135464261153,0.48413135464261153
sensor_06,sensor_22,0.48282749761698446,0.48282749761698446
sensor_38,sensor_42,0.48273529839113066,0.48273529839113066
sensor_07,sensor_23,0.4800202061467045,0.4800202061467045
sensor_06,sensor_08,0.4795921524600007,0.4795921524600007
sensor_37,sensor_48,-0.47582789455861035,0.47582789455861035
sensor_07,sensor_13,0.466021933653878,0.466021933653878
sensor_13,sensor_35,0.4654669132737173,0.4654669132737173
sensor_29,sensor_36,-0.45490592334458546,0.45490592334458546
sensor_11,sensor_12,0.4513723599269579,0.4513723599269579
sensor_26,sensor_35,0.4476407597850158,0.4476407597850158
sensor_07,sensor_09,0.44232476965655443,0.44232476965655443
sensor_06,sensor_29,-0.44032450387280425,0.44032450387280425
sensor_06,sensor_36,0.43833288659186603,0.43833288659186603
sensor_37,sensor_42,0.4346832779874037,0.4346832779874037
sensor_08,sensor_23,0.42913044870793465,0.42913044870793465
sensor_45,sensor_48,0.42705481945020146,0.42705481945020146
sensor_26,sensor_32,0.42671985544578045,0.42671985544578045
sensor_23,sensor_30,0.42603078147701023,0.42603078147701023
sensor_22,sensor_48,0.4249609453651261,0.4249609453651261
sensor_06,sensor_28,-0.42179006802410857,0.42179006802410857
sensor_07,sensor_48,0.4206464212588361,0.4206464212588361
sensor_23,sensor_34,0.410445660999771,0.410445660999771
sensor_08,sensor_11,0.40885412217662936,0.40885412217662936
sensor_46,sensor_48,0.4058663287107892,0.4058663287107892
sensor_28,sensor_48,-0.4030066438245505,0.4030066438245505
sensor_29,sensor_34,-0.40062062714667124,0.40062062714667124
sensor_23,sensor_26,0.39896133684834384,0.39896133684834384
sensor_41,sensor_47,0.39630523503904724,0.39630523503904724
sensor_13,sensor_30,0.39573652965128103,0.39573652965128103
sensor_22,sensor_34,0.3931364237629782,0.3931364237629782
sensor_13,sensor_28,-0.3924137671012886,0.3924137671012886
sensor_00,sensor_10,0.3896918520357339,0.3896918520357339
sensor_12,sensor_48,0.38964390110692726,0.38964390110692726
sensor_11,sensor_37,-0.3891297486893114,0.3891297486893114
sensor_05,sensor_48,-0.38705357318909017,0.38705357318909017
sensor_43,sensor_46,0.38480361690197845,0.38480361690197845
sensor_13,sensor_22,0.38451745954036953,0.38451745954036953
sensor_22,sensor_25,0.38117080123641717,0.38117080123641717
sensor_08,sensor_13,0.3796375685082287,0.3796375685082287
sensor_23,sensor_27,0.37919184775575154,0.37919184775575154
sensor_23,sensor_40,0.3780548051648082,0.3780548051648082
sensor_22,sensor_26,0.3764751727793322,0.3764751727793322
sensor_14,sensor_17,0.375907844103539,0.375907844103539
sensor_37,sensor_41,0.3717335692122651,0.3717335692122651
sensor_06,sensor_40,0.3715587723734422,0.3715587723734422
sensor_23,sensor_32,0.36939479361322564,0.36939479361322564
sensor_10,sensor_47,0.3672477574761443,0.3672477574761443
sensor_42,sensor_43,0.3672048594420259,0.3672048594420259
sensor_03,sensor_48,0.36592280481151335,0.36592280481151335
sensor_38,sensor_39,0.3645073548727648,0.3645073548727648
sensor_07,sensor_37,-0.36300481410390584,0.36300481410390584
sensor_03,sensor_23,0.3628282396443628,0.3628282396443628
sensor_45,sensor_49,0.3606360446332169,0.3606360446332169
sensor_05,sensor_06,-0.35978052314926273,0.35978052314926273
sensor_31,sensor_32,0.3574015994508979,0.3574015994508979
sensor_11,sensor_28,-0.3570631965265641,0.3570631965265641
sensor_05,sensor_13,-0.35654279505681724,0.35654279505681724
sensor_44,sensor_48,0.35587723133832305,0.35587723133832305
sensor_06,sensor_49,0.3556469660052992,0.3556469660052992
sensor_42,sensor_47,0.35293378530208264,0.35293378530208264
sensor_11,sensor_40,0.35260412690078136,0.35260412690078136
sensor_22,sensor_29,-0.35227524327111415,0.35227524327111415
sensor_03,sensor_06,0.3515266208579453,0.3515266208579453
sensor_14,sensor_18,0.34668798596058753,0.34668798596058753
sensor_11,sensor_49,0.3444010794633826,0.3444010794633826
sensor_10,sensor_34,0.3413639397711642,0.3413639397711642
sensor_07,sensor_28,-0.3411517381644574,0.3411517381644574
sensor_06,sensor_44,0.3403282202882081,0.3403282202882081
sensor_07,sensor_40,0.3372179643005265,0.3372179643005265
sensor_06,sensor_27,0.334994205147512,0.334994205147512
sensor_16,sensor_17,0.3347812647339844,0.3347812647339844
sensor_00,sensor_06,0.3342975445530029,0.3342975445530029
sensor_22,sensor_33,-0.3342840263585623,0.3342840263585623
sensor_34,sensor_37,-0.3333250058316831,0.3333250058316831
sensor_06,sensor_30,0.3322058329026322,0.3322058329026322
sensor_12,sensor_13,0.3299317778224048,0.3299317778224048
sensor_05,sensor_23,-0.3290837749714792,0.3290837749714792
sensor_13,sensor_29,-0.3287225027931035,0.3287225027931035
sensor_39,sensor_48,-0.32801753311825294,0.32801753311825294
sensor_37,sensor_39,0.3275161190880031,0.3275161190880031
sensor_28,sensor_37,0.3272331034141566,0.3272331034141566
sensor_06,sensor_46,0.3264171155372654,0.3264171155372654
sensor_44,sensor_45,0.3249246236386295,0.3249246236386295
sensor_03,sensor_11,0.324181955844061,0.324181955844061
sensor_08,sensor_37,-0.3229404821401505,0.3229404821401505
sensor_05,sensor_07,-0.3187055413218841,0.3187055413218841
sensor_04,sensor_06,0.318293648322237,0.318293648322237
sensor_11,sensor_35,0.31799981228112745,0.31799981228112745
sensor_33,sensor_35,-0.31663804368147735,0.31663804368147735
sensor_27,sensor_37,-0.3158760551697917,0.3158760551697917
sensor_13,sensor_40,0.3157606826172239,0.3157606826172239
sensor_05,sensor_37,0.31566340540964016,0.31566340540964016
sensor_28,sensor_49,-0.31538772811515914,0.31538772811515914
sensor_07,sensor_30,0.3151660288255035,0.3151660288255035
sensor_41,sensor_48,-0.3139161727874139,0.3139161727874139
sensor_08,sensor_48,0.31112318569456365,0.31112318569456365
sensor_13,sensor_36,0.31084428061303365,0.31084428061303365
sensor_23,sensor_28,-0.31053810167112267,0.31053810167112267
sensor_35,sensor_48,0.3103244100681683,0.3103244100681683
sensor_30,sensor_37,-0.31015614710359174,0.31015614710359174
sensor_16,sensor_18,0.3099216760509603,0.3099216760509603
sensor_06,sensor_12,0.30788736590429516,0.30788736590429516
sensor_03,sensor_13,0.30558228581687535,0.30558228581687535
sensor_01,sensor_42,0.3047116493702137,0.3047116493702137
sensor_30,sensor_48,0.3033937666816873,0.3033937666816873
sensor_26,sensor_29,-0.3031143084358246,0.3031143084358246
sensor_10,sensor_43,0.3020152370422679,0.3020152370422679
sensor_02,sensor_42,0.3019654350193448,0.3019654350193448
sensor_29,sensor_33,0.2996624380301106,0.2996624380301106
sensor_10,sensor_26,0.29938728002923765,0.29938728002923765
sensor_25,sensor_33,-0.2987025288714235,0.2987025288714235
