sensor_a,sensor_b,correlation_abnormal,abs_correlation_abnormal,correlation_clean,abs_correlation_clean,correlation_delta_abnormal_vs_clean,abs_correlation_delta_abnormal_vs_clean
sensor_16,sensor_24,0.9995381750551547,0.9995381750551547,0.004453643539860425,0.004453643539860425,0.9950845315152943,0.9950845315152943
sensor_38,sensor_43,0.9961839746811834,0.9961839746811834,-0.009162757493219906,0.009162757493219906,1.0053467321744032,0.9870212171879634
sensor_18,sensor_23,0.9884530415913413,0.9884530415913413,-0.0016167913640980091,0.0016167913640980091,0.9900698329554393,0.9868362502272433
sensor_19,sensor_30,0.988067369139508,0.988067369139508,0.0013793304164483136,0.0013793304164483136,0.9866880387230597,0.9866880387230597
sensor_17,sensor_23,0.9878324261812349,0.9878324261812349,0.0020045023824482276,0.0020045023824482276,0.9858279237987867,0.9858279237987867
sensor_21,sensor_30,0.9878273799075562,0.9878273799075562,0.0025608091357769533,0.0025608091357769533,0.9852665707717793,0.9852665707717793
sensor_16,sensor_30,0.9859357131828419,0.9859357131828419,0.001673492208761092,0.001673492208761092,0.9842622209740808,0.9842622209740808
sensor_14,sensor_24,0.9991580239563903,0.9991580239563903,0.015968925241094844,0.015968925241094844,0.9831890987152955,0.9831890987152955
sensor_40,sensor_42,0.992098309305903,0.992098309305903,0.009681526784631331,0.009681526784631331,0.9824167825212717,0.9824167825212717
sensor_20,sensor_25,0.9836545513183982,0.9836545513183982,-0.0023474350157340305,0.0023474350157340305,0.9860019863341322,0.9813071163026642
sensor_17,sensor_30,0.9821693655533416,0.9821693655533416,-0.0031370757280388987,0.0031370757280388987,0.9853064412813805,0.9790322898253027
sensor_14,sensor_31,0.9872386030615878,0.9872386030615878,-0.009612002524630608,0.009612002524630608,0.9968506055862184,0.9776266005369573
sensor_16,sensor_31,0.9864827837032727,0.9864827837032727,0.009719808514409659,0.009719808514409659,0.976762975188863,0.976762975188863
sensor_17,sensor_28,0.9802028167084795,0.9802028167084795,-0.007363968755371011,0.007363968755371011,0.9875667854638506,0.9728388479531085
sensor_19,sensor_24,0.9998973828338616,0.9998973828338616,-0.02854806591241717,0.02854806591241717,1.0284454487462789,0.9713493169214444
sensor_18,sensor_30,0.9774440833748385,0.9774440833748385,-0.0062715825546956795,0.0062715825546956795,0.9837156659295342,0.9711725008201427
sensor_18,sensor_28,0.9756305739610711,0.9756305739610711,-0.004677710498889185,0.004677710498889185,0.9803082844599603,0.9709528634621819
sensor_21,sensor_24,0.9998214724620981,0.9998214724620981,-0.030517226049862112,0.030517226049862112,1.0303386985119602,0.969304246412236
sensor_20,sensor_28,0.9827559042156959,0.9827559042156959,-0.017181510195626908,0.017181510195626908,0.9999374144113228,0.9655743940200691
sensor_21,sensor_25,0.9837182990267075,0.9837182990267075,0.018932826631141993,0.018932826631141993,0.9647854723955654,0.9647854723955654
sensor_14,sensor_23,0.9882962037952562,0.9882962037952562,0.023625994926414706,0.023625994926414706,0.9646702088688415,0.9646702088688415
sensor_17,sensor_31,0.9894085828838135,0.9894085828838135,-0.025108752984793998,0.025108752984793998,1.0145173358686075,0.9642998298990195
sensor_27,sensor_33,0.970713068264161,0.970713068264161,0.0066117034643659416,0.0066117034643659416,0.9641013647997951,0.9641013647997951
sensor_20,sensor_24,0.9998329751192665,0.9998329751192665,-0.035950020295969054,0.035950020295969054,1.0357829954152356,0.9638829548232974
sensor_17,sensor_24,0.9984210222167467,0.9984210222167467,-0.034724535618866854,0.034724535618866854,1.0331455578356135,0.9636964865978798
sensor_16,sensor_27,0.9780265814912948,0.9780265814912948,0.015601120117526231,0.015601120117526231,0.9624254613737686,0.9624254613737686
sensor_18,sensor_31,0.990554063222552,0.990554063222552,-0.028187630922756186,0.028187630922756186,1.0187416941453082,0.9623664322997958
sensor_14,sensor_30,0.9841688168338818,0.9841688168338818,-0.021829061966383723,0.021829061966383723,1.0059978788002655,0.9623397548674981
sensor_20,sensor_30,0.9875885597943577,0.9875885597943577,-0.02604265261095359,0.02604265261095359,1.0136312124053113,0.961545907183404
sensor_27,sensor_31,0.9684704519767782,0.9684704519767782,-0.008233225122687904,0.008233225122687904,0.976703677099466,0.9602372268540903
sensor_14,sensor_27,0.9755288596834093,0.9755288596834093,-0.015374096097190948,0.015374096097190948,0.9909029557806003,0.9601547635862183
sensor_14,sensor_28,0.9782430988033748,0.9782430988033748,-0.021085896562961358,0.021085896562961358,0.9993289953663361,0.9571572022404135
sensor_17,sensor_27,0.9774025580723796,0.9774025580723796,-0.02177105766108747,0.02177105766108747,0.9991736157334671,0.9556315004112922
sensor_18,sensor_24,0.9965009003582357,0.9965009003582357,-0.04194563761634194,0.04194563761634194,1.0384465379745775,0.9545552627418937
sensor_19,sensor_25,0.9832982482629492,0.9832982482629492,0.03425000014352982,0.03425000014352982,0.9490482481194193,0.9490482481194193
sensor_16,sensor_28,0.9803508739258182,0.9803508739258182,-0.032204359228981655,0.032204359228981655,1.0125552331547998,0.9481465146968365
sensor_18,sensor_27,0.9725072771879821,0.9725072771879821,-0.025027060297301795,0.025027060297301795,0.997534337485284,0.9474802168906803
sensor_18,sensor_22,0.9843505454544399,0.9843505454544399,0.03902612037489451,0.03902612037489451,0.9453244250795454,0.9453244250795454
sensor_17,sensor_22,0.9815532505282833,0.9815532505282833,0.03958067890720133,0.03958067890720133,0.941972571621082,0.941972571621082
sensor_16,sensor_25,0.9861207028540733,0.9861207028540733,0.04440624880360125,0.04440624880360125,0.941714454050472,0.941714454050472
sensor_16,sensor_33,0.9439902522579767,0.9439902522579767,-0.0023696538122381927,0.0023696538122381927,0.9463599060702149,0.9416205984457385
sensor_25,sensor_31,0.9700404349179136,0.9700404349179136,-0.03104947904639459,0.03104947904639459,1.0010899139643081,0.938990955871519
sensor_20,sensor_31,0.9855636616570249,0.9855636616570249,-0.047143866022528236,0.047143866022528236,1.0327075276795532,0.9384197956344966
sensor_14,sensor_33,0.9434705728814488,0.9434705728814488,0.0083523144394632,0.0083523144394632,0.9351182584419856,0.9351182584419856
sensor_41,sensor_46,0.948114427475642,0.948114427475642,0.016691540983693617,0.016691540983693617,0.9314228864919484,0.9314228864919484
sensor_19,sensor_26,0.9544356535156413,0.9544356535156413,-0.023123927215434388,0.023123927215434388,0.9775595807310757,0.9313117263002069
sensor_21,sensor_26,0.9543793884776034,0.9543793884776034,-0.02437883344490404,0.02437883344490404,0.9787582219225074,0.9300005550326994
sensor_38,sensor_46,0.9462568660499447,0.9462568660499447,-0.016883089178076197,0.016883089178076197,0.963139955228021,0.9293737768718685
sensor_17,sensor_33,0.9379058451629899,0.9379058451629899,0.009934967979134207,0.009934967979134207,0.9279708771838557,0.9279708771838557
sensor_16,sensor_22,0.9805344826588046,0.9805344826588046,0.056010846483254245,0.056010846483254245,0.9245236361755503,0.9245236361755503
sensor_25,sensor_28,0.952270151821643,0.952270151821643,-0.028102532057722517,0.028102532057722517,0.9803726838793655,0.9241676197639205
sensor_18,sensor_33,0.931435662557282,0.931435662557282,0.008517020670612259,0.008517020670612259,0.9229186418866698,0.9229186418866698
sensor_23,sensor_25,0.9923138679780058,0.9923138679780058,0.06993479318382126,0.06993479318382126,0.9223790747941846,0.9223790747941846
sensor_20,sensor_33,0.9468811166383846,0.9468811166383846,-0.024919263105898384,0.024919263105898384,0.971800379744283,0.9219618535324862
sensor_16,sensor_23,0.988822115852374,0.988822115852374,0.06713563561699552,0.06713563561699552,0.9216864802353785,0.9216864802353785
sensor_24,sensor_33,0.9441143433271647,0.9441143433271647,0.023467160825366512,0.023467160825366512,0.9206471825017982,0.9206471825017982
sensor_18,sensor_26,0.9613239821095885,0.9613239821095885,0.04122965804395057,0.04122965804395057,0.9200943240656378,0.9200943240656378
sensor_17,sensor_25,0.9875790197748158,0.9875790197748158,0.068735413862549,0.068735413862549,0.9188436059122668,0.9188436059122668
sensor_18,sensor_25,0.9900831053198927,0.9900831053198927,0.07301802183240302,0.07301802183240302,0.9170650834874897,0.9170650834874897
sensor_17,sensor_26,0.957551401023329,0.957551401023329,0.04071797462494779,0.04071797462494779,0.9168334263983813,0.9168334263983813
sensor_14,sensor_26,0.9587676035041467,0.9587676035041467,0.04374055329705058,0.04374055329705058,0.9150270502070961,0.9150270502070961
sensor_24,sensor_31,0.9839908459950666,0.9839908459950666,0.06984106307029764,0.06984106307029764,0.9141497829247689,0.9141497829247689
sensor_01,sensor_51,0.9248555647288106,0.9248555647288106,-0.011750877228056301,0.011750877228056301,0.9366064419568669,0.9131046875007542
sensor_20,sensor_27,0.9806000887942464,0.9806000887942464,0.0676430716768549,0.0676430716768549,0.9129570171173915,0.9129570171173915
sensor_14,sensor_25,0.9859124639365087,0.9859124639365087,0.07353086257653889,0.07353086257653889,0.9123816013599698,0.9123816013599698
sensor_21,sensor_31,0.9849917515770122,0.9849917515770122,-0.07273344224707998,0.07273344224707998,1.0577251938240921,0.9122583093299322
sensor_24,sensor_27,0.9805445407414484,0.9805445407414484,0.0684208061531595,0.0684208061531595,0.9121237345882889,0.9121237345882889
sensor_16,sensor_26,0.9587748926004667,0.9587748926004667,0.053848595522497406,0.053848595522497406,0.9049262970779692,0.9049262970779692
sensor_20,sensor_26,0.9548581357609269,0.9548581357609269,-0.04997240157644881,0.04997240157644881,1.0048305373373758,0.9048857341844782
sensor_39,sensor_40,0.9896897791499008,0.9896897791499008,-0.08588252788940412,0.08588252788940412,1.0755723070393048,0.9038072512604967
sensor_26,sensor_27,0.9116273499861784,0.9116273499861784,0.008067622786076558,0.008067622786076558,0.9035597272001019,0.9035597272001019
sensor_10,sensor_33,0.9460147725218461,0.9460147725218461,-0.04276589266749264,0.04276589266749264,0.9887806651893387,0.9032488798543534
sensor_19,sensor_31,0.9855437641520726,0.9855437641520726,-0.08478273747298522,0.08478273747298522,1.0703265016250578,0.9007610266790873
sensor_24,sensor_25,0.9827181113153863,0.9827181113153863,0.08769182384181665,0.08769182384181665,0.8950262874735697,0.8950262874735697
sensor_14,sensor_22,0.9803959767961831,0.9803959767961831,0.08550180254771411,0.08550180254771411,0.894894174248469,0.894894174248469
sensor_39,sensor_43,0.9964016036418185,0.9964016036418185,0.10156378015804168,0.10156378015804168,0.8948378234837768,0.8948378234837768
sensor_17,sensor_21,0.9987128836250393,0.9987128836250393,0.1090242779887354,0.1090242779887354,0.8896886056363039,0.8896886056363039
sensor_30,sensor_31,0.9494934555735696,0.9494934555735696,-0.06439858758869861,0.06439858758869861,1.0138920431622682,0.8850948679848709
sensor_18,sensor_21,0.997006249625042,0.997006249625042,0.11273868372989793,0.11273868372989793,0.8842675658951441,0.8842675658951441
sensor_24,sensor_30,0.9895918988599116,0.9895918988599116,0.10614733055873155,0.10614733055873155,0.88344456830118,0.88344456830118
sensor_22,sensor_31,0.9595237491373186,0.9595237491373186,0.07711649293121926,0.07711649293121926,0.8824072562060994,0.8824072562060994
sensor_14,sensor_32,0.9064052245773765,0.9064052245773765,0.02424532086700599,0.02424532086700599,0.8821599037103705,0.8821599037103705
sensor_21,sensor_28,0.9828153777098355,0.9828153777098355,-0.10114991592486995,0.10114991592486995,1.0839652936347055,0.8816654617849655
sensor_25,sensor_30,0.9671877769809117,0.9671877769809117,-0.08552668671364733,0.08552668671364733,1.0527144636945591,0.8816610902672644
sensor_21,sensor_33,0.9459984801993505,0.9459984801993505,-0.0650195997553947,0.0650195997553947,1.0110180799547452,0.8809788804439558
sensor_17,sensor_20,0.9987363987414757,0.9987363987414757,0.11924634031569209,0.11924634031569209,0.8794900584257836,0.8794900584257836
sensor_19,sensor_33,0.9468950760223561,0.9468950760223561,-0.06844290967447433,0.06844290967447433,1.0153379856968305,0.8784521663478818
sensor_17,sensor_32,0.900009039072456,0.900009039072456,-0.02280869366352466,0.02280869366352466,0.9228177327359807,0.8772003454089313
sensor_18,sensor_32,0.9063520491980616,0.9063520491980616,-0.02971422662152611,0.02971422662152611,0.9360662758195877,0.8766378225765354
sensor_14,sensor_21,0.9995876925979205,0.9995876925979205,0.12322068931593802,0.12322068931593802,0.8763670032819825,0.8763670032819825
sensor_39,sensor_47,0.9915793855451986,0.9915793855451986,0.1157428421470924,0.1157428421470924,0.8758365433981062,0.8758365433981062
sensor_14,sensor_29,0.8989998157500463,0.8989998157500463,-0.025247190768272938,0.025247190768272938,0.9242470065183193,0.8737526249817733
sensor_26,sensor_28,0.9056903232971648,0.9056903232971648,0.03254802416259599,0.03254802416259599,0.8731422991345689,0.8731422991345689
sensor_19,sensor_28,0.983170149416929,0.983170149416929,-0.11116890800077368,0.11116890800077368,1.0943390574177028,0.8720012414161553
