sensor,subsystem_group,group_size
sensor_14,subsystem_01,2
sensor_16,subsystem_01,2
sensor_17,subsystem_02,2
sensor_18,subsystem_02,2
sensor_40,subsystem_03,2
sensor_43,subsystem_03,2
sensor_41,subsystem_04,2
sensor_42,subsystem_04,2
sensor_00,subsystem_05,1
sensor_01,subsystem_06,1
sensor_02,subsystem_07,1
sensor_03,subsystem_08,1
sensor_04,subsystem_09,1
sensor_05,subsystem_10,1
sensor_06,subsystem_11,1
sensor_07,subsystem_12,1
sensor_08,subsystem_13,1
sensor_09,subsystem_14,1
sensor_10,subsystem_15,1
sensor_11,subsystem_16,1
sensor_12,subsystem_17,1
sensor_13,subsystem_18,1
sensor_19,subsystem_19,1
sensor_20,subsystem_20,1
sensor_21,subsystem_21,1
sensor_22,subsystem_22,1
sensor_23,subsystem_23,1
sensor_24,subsystem_24,1
sensor_25,subsystem_25,1
sensor_26,subsystem_26,1
sensor_27,subsystem_27,1
sensor_28,subsystem_28,1
sensor_29,subsystem_29,1
sensor_30,subsystem_30,1
sensor_31,subsystem_31,1
sensor_32,subsystem_32,1
sensor_33,subsystem_33,1
sensor_34,subsystem_34,1
sensor_35,subsystem_35,1
sensor_36,subsystem_36,1
sensor_37,subsystem_37,1
sensor_38,subsystem_38,1
sensor_39,subsystem_39,1
sensor_44,subsystem_40,1
sensor_45,subsystem_41,1
sensor_46,subsystem_42,1
sensor_47,subsystem_43,1
sensor_48,subsystem_44,1
sensor_49,subsystem_45,1
sensor_51,subsystem_46,1
