sensor,std_full_dataset,missing_count_full_dataset,row_count_full_dataset,median_clean,median_contaminated,median_abnormal,median_recovery,clean_vs_contaminated_shift,clean_vs_abnormal_shift,clean_vs_recovery_shift,clean_vs_contaminated_shift_zish,clean_vs_abnormal_shift_zish,clean_vs_recovery_shift_zish,hotspot_score
sensor_00,0.41222735241545866,10208,220320,2.4614580000000004,2.455556,1.093982,0.0019675929999999,-0.005902000000000296,-1.3674760000000004,-2.4594904070000005,0.014317342033267197,3.3172859393905654,5.966344524662282,5.966344524662282
sensor_04,144.02391187922,19,220320,634.375,630.2083,206.038757324219,3.56770825386047,-4.166699999999992,-428.336242675781,-630.8072917461395,0.028930612601983974,2.974063383551117,4.3798788931322825,4.3798788931322825
sensor_05,17.29824702472248,19,220320,75.19627,76.30651499999999,60.30106,0.0,1.110244999999992,-14.895209999999999,-75.19627,0.06418251504983372,0.8610820494534454,4.347045679977297,4.347045679977297
sensor_10,12.09351871224163,19,220320,45.72617,42.108215,28.30488,0.3597733999999999,-3.617955000000002,-17.421290000000003,-45.3663966,0.29916479116518313,1.4405476532124062,3.751298334212523,3.751298334212523
sensor_17,129.15617462337008,46,220320,463.5739,0.0,457.7386,462.0662,-463.5739,-5.835299999999961,-1.5076999999999998,3.5892507760609913,0.04518018605781854,0.011673464349626147,3.5892507760609913
sensor_11,13.056425240028533,19,220320,46.68359,43.646505000000005,30.43471,0.0868055522441864,-3.0370849999999976,-16.248880000000003,-46.596784447755816,0.2326122919686216,1.2445121617350519,3.568877666828657,3.568877666828657
sensor_02,3.666820372584328,19,220320,51.73611,52.17014,52.73437,38.715274810791,0.434030000000007,0.9982600000000019,-13.020835189208995,0.11836685626738466,0.27224131497241605,3.550988013092138,3.550988013092138
sensor_06,2.163736193881637,4798,220320,14.03356,13.35359,12.30469,6.553819,-0.6799699999999991,-1.7288699999999988,-7.479741,0.3142573488962007,0.7990206961868538,3.456863651470242,3.456863651470242
sensor_22,154.52833747311573,41,220320,532.9305,0.0,498.6224,532.6485,-532.9305,-34.308100000000024,-0.2820000000000391,3.4487557991926066,0.22201817841966248,0.0018249080046506062,3.4487557991926066
sensor_24,182.2979786299352,16,220320,627.054,0.0,625.123,627.2341,-627.054,-1.9309999999999263,0.18010000000003856,3.43971998325291,0.010592547512113974,0.0009879429347137275,3.43971998325291
sensor_16,126.07264165357607,31,220320,463.3769,32.072070000000004,463.0843,463.2863,-431.30483,-0.2925999999999931,-0.0905999999999949,3.4210818805966214,0.002320884183612198,0.0007186333118088116,3.4210818805966214
sensor_25,220.86516600257926,36,220320,746.2048,0.0,719.8438,738.9966,-746.2048,-26.36099999999999,-7.2082000000000335,3.3785535922458947,0.11935336149699653,0.032636201219326075,3.3785535922458947
sensor_14,113.20638156458503,21,220320,420.4382,40.901649475097706,420.3359,420.2777,-379.5365505249023,-0.10230000000001382,-0.1605000000000132,3.3526073820173647,0.0009036593042385244,0.0014177645975589,3.3526073820173647
sensor_19,199.34581997902157,16,220320,666.2149,0.0,665.4158,665.4791,-666.2149,-0.7990999999999531,-0.7357999999999265,3.342005867342039,0.004008611768654329,0.0036910731314925963,3.342005867342039
sensor_18,0.765883056213055,46,220320,2.550953,0.0,2.481055,2.534958,-2.550953,-0.0698979999999998,-0.01599499999999976,3.3307343455452685,0.09126458593510837,0.02088438942504851,3.3307343455452685
sensor_21,226.67931655486927,16,220320,880.5049,135.0657,880.8264,879.5981,-745.4392,0.32150000000001455,-0.9067999999999756,3.288518826196308,0.0014183031998077924,0.004000364981603774,3.288518826196308
sensor_20,101.97411766405136,16,220320,399.6271,65.01398499999999,399.093,399.2862,-334.613115,-0.5340999999999667,-0.34089999999997644,3.281353373435073,0.00523760354327882,0.0033430051449236803,3.281353373435073
sensor_12,10.113935055478294,19,220320,32.980270000000004,32.073845,21.43791,0.0,-0.9064250000000058,-11.542360000000006,-32.980270000000004,0.08962139810350409,1.1412333514785618,3.2608742115795946,3.2608742115795946
sensor_26,246.66360764438673,20,220320,899.1441,109.97235,854.0722,912.7559,-789.17175,-45.07190000000003,13.611800000000017,3.199384609414063,0.1827261849870447,0.055183657329880856,3.199384609414063
sensor_23,291.8352800314104,16,220320,1003.19,95.08356,982.5069,1088.613,-908.10644,-20.68310000000008,85.423,3.1117089061413687,0.07087251410375726,0.2927096408316564,3.1117089061413687
sensor_33,150.75183581846997,16,220320,515.6586,68.02364,546.6656,532.5555,-447.63496,31.007000000000062,16.896900000000073,2.9693499755387798,0.20568240400957766,0.1120842071890038,2.9693499755387798
sensor_01,3.2966655782150873,369,220320,48.3941,47.3524284362793,45.8333320617676,38.67188,-1.0416715637207048,-2.5607679382324022,-9.72222,0.3159773228453147,0.7767751618952136,2.949107141545094,2.949107141545094
sensor_32,260.60236075415986,68,220320,897.3002,130.87169999999998,849.8132,908.9795,-766.4285,-47.486999999999966,11.679300000000012,2.9409883232907967,0.18222014513827445,0.04481655487003711,2.9409883232907967
sensor_28,313.0740321112737,16,220320,979.931,77.031975,1063.003,1066.251,-902.899025,83.07199999999989,86.31999999999994,2.883979290492828,0.26534299072902406,0.27571753370244334,2.883979290492828
sensor_30,195.72687202452107,261,220320,672.2222,109.7222,671.2963,689.8148,-562.5,-0.9259000000000697,17.592599999999948,2.8739027716619763,0.004730571691168042,0.08988341671242725,2.8739027716619763
sensor_35,141.7725190146496,16,220320,496.6725,92.89652000000001,411.1652,511.9011,-403.77598,-85.50729999999999,15.228599999999972,2.8480553410938345,0.6031302864214776,0.10741573970641217,2.8480553410938345
sensor_31,283.5447600629354,16,220320,923.9583,139.0625,971.8749,989.0624,-784.8958,47.91660000000002,65.10410000000002,2.768154840265026,0.16899130842468923,0.2296078403478504,2.768154840265026
sensor_03,2.4188865739385483,19,220320,44.357635498046896,44.574649810790994,43.402774810790994,37.717014312744105,0.217014312744098,-0.954860687255902,-6.640621185302791,0.08971661386781968,0.39475215479043796,2.7453214453500436,2.7453214453500436
sensor_36,289.3855112776962,16,220320,815.6448,97.60552,367.8615,682.2244,-718.0392800000001,-447.78330000000005,-133.4204000000001,2.481255114776513,1.5473590851972694,0.46104727016539887,2.481255114776513
sensor_34,88.37606459035518,16,220320,266.767,65.24342999999999,261.7709,193.1559,-201.52357,-4.996100000000013,-73.6111,2.280295812379872,0.05653227514891239,0.832930277459237,2.280295812379872
sensor_29,225.76409107511384,72,220320,570.5671,73.22022999999999,724.8124,534.1785,-497.34686999999997,154.24530000000004,-36.3886,2.202949404538067,0.6832144973342159,0.16117975106985977,2.202949404538067
