column,unique_count,non_null_count
timestamp,220320,220320
meta__event_id,220320,220320
machine_status,3,220320
meta__asset_id,1,220320
meta__dataset_name,1,220320
meta__dataset,1,220320
meta__cleaning_recipe_id,1,220320
meta__dataset_source,1,220320
meta__label_source_column,1,220320
meta__label_source_kind,1,220320
meta__event_time_source,1,220320
meta__feature_set_id,1,220320
meta__source_file,1,220320
meta__silver_version,1,220320
meta__layer,1,220320
meta__run_id,1,220320
status_normal_value,1,220320
meta__split,1,220320
meta__label_type,0,0
meta__label_source,0,0
