sensor,baseline_state,comparison_state,baseline_mean,comparison_mean,baseline_std,standardized_mean_shift,abs_standardized_mean_shift
sensor_04,normal,abnormal,625.6732839412786,334.6721995779855,50.82268415049867,-5.725811007965776,5.725811007965776
sensor_38,normal,abnormal,50.66402305737356,92.29909999999998,7.664509644334879,5.43219056073606,5.43219056073606
sensor_00,normal,abnormal,2.420476021600454,1.1941881704285715,0.242471833326895,-5.057444546635771,5.057444546635771
sensor_39,normal,abnormal,36.71107384232764,86.75595285714284,10.593935264258569,4.7239177667674435,4.7239177667674435
sensor_06,normal,abnormal,13.86507255451698,9.818327740671753,0.8649434318447331,-4.678623670468731,4.678623670468731
sensor_41,normal,abnormal,35.58195128724184,58.18451743739536,5.2182670421260005,4.33143148246106,4.33143148246106
sensor_07,normal,abnormal,16.16595896751733,13.73181128285714,0.6004569409879202,-4.05382554268643,4.05382554268643
sensor_09,normal,abnormal,15.086661767032782,12.788317685167938,0.572969384652558,-4.011286018813262,4.011286018813262
sensor_08,normal,abnormal,15.478129193161207,13.29468414,0.5886059129747478,-3.7095194000453087,3.7095194000453087
sensor_05,normal,abnormal,75.38976408261738,45.351952857142855,9.381706886976913,-3.2017426665899245,3.2017426665899245
sensor_43,normal,abnormal,44.226583481170096,64.95534714285714,7.48765157432718,2.768393194571112,2.768393194571112
sensor_42,normal,abnormal,35.433286549973104,52.71576943298339,6.249140093547169,2.7655777633879732,2.7655777633879732
sensor_40,normal,abnormal,70.97099818463529,118.82439714285715,17.89694439537592,2.6738306775197818,2.6738306775197818
sensor_10,normal,abnormal,44.26891340196967,28.517882000000004,6.048122078386731,-2.604284635433661,2.604284635433661
sensor_11,normal,abnormal,44.769888963101494,28.350590714285715,7.602400649599189,-2.1597517686313243,2.1597517686313243
sensor_12,normal,abnormal,31.17233926498584,18.46575414285714,6.802213521012032,-1.8680073894884466,1.8680073894884466
sensor_47,normal,abnormal,45.04710173482115,56.464948127964576,9.9969734144184,1.1421303148286597,1.1421303148286597
sensor_01,normal,abnormal,48.1801156027546,45.96974172310966,2.240172841721858,-0.9866979183382953,0.9866979183382953
sensor_03,normal,abnormal,44.16706022110404,42.9315457043457,1.6682602485635256,-0.740600585443542,0.740600585443542
sensor_51,normal,abnormal,200.72087444950557,235.62884999999997,62.30434136275035,0.5602815917313378,0.5602815917313378
