sensor,baseline_state,comparison_state,baseline_n,comparison_n,baseline_median,comparison_median,baseline_iqr,comparison_iqr,median_shift,standardized_median_shift,iqr_ratio,ks_statistic,ks_pvalue,abs_standardized_median_shift
sensor_04,normal,abnormal,205822,7,633.3333740234381,206.038757324219,9.722300000000132,258.3043975830075,-427.2946166992191,-43.94995183230442,26.568239776905056,0.9370426873706407,7.840671651876376e-09,43.94995183230442
sensor_00,normal,abnormal,205822,7,2.456539,1.093982,0.05509200000000014,2.1058159035,-1.3625569999999998,-24.732393087925583,38.22362418318439,0.9408275111504115,5.080060109583231e-09,24.732393087925583
sensor_10,normal,abnormal,205822,7,44.69339,28.30488,6.179440000000007,9.588850000000004,-16.38851,-2.6521027795398906,1.5517344613751398,0.8139356198212879,1.551504322796748e-05,2.6521027795398906
sensor_12,normal,abnormal,205822,7,32.8352,21.43791,5.248952499999998,15.940530500000001,-11.397290000000002,-2.1713456161014997,3.036897457159311,0.6193493129292024,0.004065148617561793,2.1713456161014997
sensor_11,normal,abnormal,205822,7,45.98522,30.43471,9.6247075,30.410491,-15.55051,-1.6156865026807308,3.159627552317824,0.5474612598680968,0.017021392024218804,1.6156865026807308
sensor_05,normal,abnormal,205822,7,75.648,60.30106,10.10164499999999,41.12690500000001,-15.346939999999996,-1.5192515674427294,4.071307692954964,0.7215451076311431,0.0003223978481916279,1.5192515674427294
sensor_06,normal,abnormal,205822,7,13.67911,12.30469,1.186350000000001,6.550200500000001,-1.3744199999999989,-1.1585282589455033,5.521305264045177,0.5551183616356435,0.014802483045173571,1.1585282589455033
sensor_51,normal,abnormal,193452,6,198.4954,231.62615,35.59030000000001,75.66550000000001,33.130750000000006,0.9308926870523708,2.1260146725371794,0.45837210264044825,0.1129704766831463,0.9308926870523708
sensor_01,normal,abnormal,205497,7,48.26389,45.8333320617676,2.8645799999999966,3.5373300000000043,-2.430557938232404,-0.8484866675856171,1.2348511823722879,0.5017118776151754,0.037336174734244026,0.8484866675856171
sensor_29,normal,abnormal,205764,7,565.69955,724.8124,219.107075,215.42439999999988,159.11284999999998,0.7261876413621056,0.9831923501329196,0.28361340453834766,0.5344944955020222,0.7261876413621056
sensor_36,normal,abnormal,205820,7,771.9181000000001,367.8615,574.1410500000001,232.33185000000003,-404.0566000000001,-0.703758423126164,0.4046598827936097,0.4679629912406124,0.06334750356188512,0.703758423126164
sensor_08,normal,abnormal,205822,7,15.49479,15.18374,0.5136000000000003,1.1537949999999988,-0.3110499999999998,-0.6056269470404978,2.246485591900308,0.3121705717978225,0.41804034618020225,0.6056269470404978
sensor_22,normal,abnormal,205795,7,531.7361,498.6224,54.934799999999996,72.9393,-33.11369999999994,-0.6027818432032144,1.3277430699665786,0.27744183705698805,0.5615061094193767,0.6027818432032144
sensor_46,normal,abnormal,205814,7,45.13889,39.0625,10.706019999999995,22.569445,-6.0763900000000035,-0.5675675928122689,2.1081078682834526,0.43065097612407316,0.10759603891432223,0.5675675928122689
sensor_33,normal,abnormal,205820,7,511.2878,546.6656,64.69315000000006,64.16005000000007,35.377800000000036,0.5468554244151043,0.991759560324393,0.28751544345267016,0.5179326452917901,0.5468554244151043
