feature,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
sensor_51,11485,236.03021341308082,384.3815709151021,27.7777786254883,27.77778,28.06713,31.8287029266357,36.16898,84.20139,1000.0,1000.0,1000.0
sensor_36,14484,572.0194196111064,221.12996164784505,189.3092,238.620739,286.246885,312.83945,682.1781000000001,708.5789,892.2774,961.3102690000001,984.0607
sensor_32,14484,938.2352573225628,203.32025950889357,65.57249,685.890927,738.954865,830.31495,908.96245,939.326425,1499.3267999999998,1532.00295,1838.657
sensor_31,14484,1032.7442188801438,186.95353293535229,88.54166,805.2083,887.5780350000001,945.3124,989.0624,1031.25,1512.9428499999992,1800.0,1800.0
sensor_29,14484,621.4808385968655,138.70025039984031,3.209324,373.282285,491.28228,514.5978,534.18615,781.42365,804.980635,811.794152,873.346
sensor_27,14484,522.3535510137134,120.17488817801168,0.0,79.7419488,451.47215500000004,483.40585,503.62694999999997,538.299125,849.1594149999997,972.26122,1388.7720000000002
sensor_04,14479,93.15091545436313,118.10087059194461,2.798032,2.7980322837829603,3.02951383590698,3.3362269401550297,3.56770825386047,203.029495239258,272.008101940155,471.660873413086,612.1528
sensor_28,14484,1091.6274090237503,112.4863109259372,113.0882,422.771525,1033.15435,1049.0014999999999,1066.2435,1150.9075,1219.1582500000002,1254.4765599999998,1422.5770000000002
sensor_23,14484,1027.7938472259045,98.16535916293417,62.51734,810.5565799999999,938.34567,950.67175,1088.6105,1091.506,1094.159,1096.12453,1107.556
sensor_35,14484,475.8522741189901,96.55969102542697,293.3815,333.839346,346.84927,370.8782,511.9009,548.275625,610.7746199999999,694.479125976563,694.479125976563
sensor_26,14484,857.0734596969069,95.74213769736703,52.35487,642.641021,747.335105,753.3206,912.72465,920.2005999999999,923.7642999999999,947.965725,988.7214
sensor_25,14484,714.2083832268711,71.04254098159387,4.027517,469.108359,646.471,653.4079,738.99465,759.767325,763.42665,773.443027,791.0273
sensor_30,14484,698.9479020070423,68.08206291703895,32.87037,616.2037,643.9814,669.4445,689.8148,707.8704,842.5926,898.3148290000003,1181.019
sensor_33,14484,545.8407078065452,65.90076314630683,38.85077,461.83565600000003,482.76349500000003,503.63937500000003,532.55575,589.942875,633.836475,696.36609,1554.094
sensor_24,14484,624.1292927140292,63.92819110040094,88.198,467.522451,605.46447,616.675925,627.23355,629.021825,632.0569,1000.0,1000.0
sensor_21,14484,868.3720082642916,59.330057435360395,156.482,655.757601,856.677555,864.850925,879.5982,881.4589000000001,884.4006,886.924672,899.3026
sensor_34,14484,221.80020570974867,54.89176652643742,118.7913,142.27477000000002,157.950145,174.59885000000003,193.17239999999998,270.567975,303.83987999999994,359.24302,395.0538
sensor_05,14479,45.06052586290642,49.4207777730589,0.0,0.0,0.0,0.0,0.0,99.9998779296875,99.9998779296875,99.99988,99.99988
sensor_19,14484,657.0536150738745,47.04152511867158,0.0,497.178431,648.588205,653.336475,665.4789000000001,666.850375,668.78785,672.072865,758.898
sensor_22,14484,506.049268913974,46.77824609374602,40.03278,397.879501,458.48589,461.53855,532.6478500000001,534.25275,535.77426,536.6597529999999,542.6363
sensor_39,14479,35.180026389712935,45.954007150990066,19.27083,19.270832061767603,19.7916660308838,22.1354160308838,24.4791660308838,28.9062480926514,80.46875,315.6198139999985,481.7708
sensor_40,14479,38.6175112975727,37.65764575119502,23.4375,23.6979160308838,24.47917,27.34375,29.9479160308838,36.4583320617676,64.84375,250.08334999999897,490.1042
sensor_42,14479,35.7401462529305,32.34707364187293,22.1354160308838,22.1354160308838,23.4375,25.26042,28.3854160308838,32.5520820617676,69.53125,162.5,374.2188
sensor_43,14479,38.94721274798272,32.139533255524995,24.4791660308838,24.73958,25.2604160308838,28.38542,30.989582061767603,38.02083,64.32291,179.59896399999948,408.5937
sensor_48,14479,37.211260776839644,32.0248228075293,26.331018447876,26.331018447876,27.199073791503896,29.224536895752,31.5393524169922,35.0115737915039,58.1597213745117,178.43168199999943,502.3148
sensor_37,14484,70.42888034884622,31.901145512011873,0.0,0.0154361775,17.70459,45.6630475,72.20438999999999,93.0064325,122.40365499999997,133.879737,165.4018
sensor_17,14484,457.45884474592657,27.73489175583722,174.4065,327.416754,442.77328,454.23929999999996,462.06605,466.876625,473.26621,478.53704,599.243
sensor_16,14484,458.8399294255731,25.838343889845074,195.4578,359.91889100000003,448.4269,452.6752,463.28625,465.45187500000003,469.03627,478.374886,612.6765
sensor_20,14484,394.25757521679094,25.223373866989906,89.90998,297.410948,389.175075,391.655675,399.28594999999996,399.96365,400.882305,401.735348,425.4048
sensor_38,14479,35.32648440040753,25.210587511207727,24.4791660308838,24.4791660308838,24.739582061767603,27.3437480926514,29.9479160308838,34.1145820617676,59.11458,135.9062739999993,417.7083
sensor_41,14479,32.283032457596484,23.4952003249736,20.83333,20.833332061767603,21.09375,23.4375,25.7812480926514,31.2499980926514,72.18749399999923,141.72398799999982,420.3125
sensor_49,14479,36.50889469923806,23.380882898229505,26.62037,26.6203708648682,27.488426208496104,29.224536895752,31.5393524169922,35.0115737915039,60.474536895752,144.73956799999982,464.4097
sensor_46,14479,36.07769339809023,22.528230712031714,26.331018447876,26.331018447876,27.199073791503896,29.5138893127441,32.1180572509766,35.3009262084961,48.90046,184.7627099999987,301.5046
sensor_14,14484,415.98403910521955,22.17694431403869,179.232,336.14916600000026,407.021845,410.54265,420.2785,422.132825,425.14911,427.80927,454.3613
sensor_45,14479,33.292429555116435,14.311975169834904,26.331018447876,26.33102,27.199070000000003,28.93518,30.96065,33.275463104248,40.24884482702595,102.4306,320.3125
sensor_44,14479,32.36900034577775,12.271604483092199,25.7523155212402,25.7523155212402,26.33102,28.6458339691162,30.6713,33.275459999999995,39.3518524169922,72.33796,361.6898
sensor_47,14479,34.3025330523656,11.428892329541872,27.199070000000003,27.488426208496104,27.7777786254883,30.381944656372102,32.986110687255895,35.87963,41.6666679382324,78.41435,303.5301
sensor_09,9903,8.824860570651131,7.148710988616715,0.0,0.007233796,0.0072337961755693,0.0072337961755693,11.29196,15.05353,17.65046,25.0,25.0
sensor_07,9047,8.499192251028042,7.111280501218307,0.0,0.03616898,0.0361689813435078,0.0361689813435078,11.34983,13.80932,17.66493,23.32899,23.59664
sensor_08,9391,9.120787916578863,6.991896766282198,0.02893518,0.02893518,0.0289351847022772,0.0289351847022772,11.14005,12.74595,21.12268,24.16088,24.34896
sensor_02,14479,39.92797715334159,5.132021352466173,33.15972,33.203125,33.7239570617676,36.0677070617676,38.715274810791,42.1875,50.0868,52.30035,53.55902
sensor_06,9700,5.787772129180643,5.08373048404426,0.01446759,0.01446759,0.0144675923511386,0.0289351847022772,6.553819,10.09838,12.62297,17.08623,22.25116
sensor_01,14454,39.22465401760331,4.370922029953656,32.20486,32.2916641235352,33.029514312744105,35.373264312744105,38.67188,41.05902,47.30902,48.13368,53.55902
sensor_11,14479,1.3826590955336324,3.66253014726312,0.0,0.0,0.0,0.0,0.0868055522441864,0.8642284,5.5876736,18.340531799999994,51.46463
sensor_03,14479,37.859151489925786,3.5054508772525543,31.64062,31.9010410308838,32.8125,34.89583,37.717014312744105,40.53819,43.92361,44.87847,46.70139
sensor_10,14479,1.688021359773427,3.3630712195569097,0.0,0.0,0.08161484900000002,0.2459491,0.3618394,1.9163285,6.2006996999999995,15.020261599999982,58.23381
sensor_12,14479,0.20384393219624494,1.621974753088032,0.0,0.0,0.0,0.0,0.0,0.0,0.6799869099999981,6.1546789199999985,33.04587
sensor_13,14479,0.05792530295615284,0.6692912001904969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538629759999858,16.09672
sensor_18,14484,2.4934454849074843,0.2378346777042057,0.3590827,1.28574762,2.325918,2.44968275,2.5349554999999997,2.58832325,2.66077385,2.72260005,4.240345
sensor_00,4290,0.05707326135514717,0.17438469803112228,0.0,0.0019675926305353,0.0019675926305353,0.0019675926305353,0.0019675929999999,0.109201394021511,0.3039930999999999,0.8959728519999861,2.321759
