feature,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
sensor_51,11479,236.03042320317394,384.4801309795196,27.7777786254883,27.77778,28.06713,31.8287029266357,36.16898,83.76736,1000.0,1000.0,1000.0
sensor_36,14477,572.0839971642788,221.12416671138268,189.3092,238.619808,286.27912000000003,312.8531,682.2244,708.5828,892.3458799999996,961.332368,984.0607
sensor_32,14477,938.2952310188574,203.31518605170078,65.57249,685.9631760000001,738.95948,830.3393,908.9795,939.325,1499.3511999999998,1532.0054,1838.657
sensor_31,14477,1032.7905597195552,186.9576315504921,88.54166,806.791608,887.9166200000001,945.3124,989.0624,1031.25,1513.1251999999993,1800.0,1800.0
sensor_29,14477,621.4858954919528,138.6457401910704,3.209324,373.831252,491.29346,514.5969,534.1785,781.4225,804.9833199999999,811.804344,873.346
sensor_27,14477,522.3902305286057,120.12985734122587,0.0,80.3300676,451.48236,483.4059,503.6285,538.2964,849.2244399999997,972.26584,1388.7720000000002
sensor_04,14472,93.034093384928,117.95670422824756,2.798032,2.7980322837829603,3.02951383590698,3.3362269401550297,3.56770825386047,203.029495239258,272.008101940155,471.5786842346192,611.6898
sensor_28,14477,1091.6856276922015,112.2948550761809,113.0882,424.0471,1033.1684,1049.014,1066.251,1150.907,1219.1606000000002,1254.4813199999999,1422.5770000000002
sensor_23,14477,1027.8651950093251,97.87512868335365,62.51734,810.660276,938.34814,950.6765,1088.613,1091.506,1094.1592,1096.12516,1107.556
sensor_35,14477,475.85392426700815,96.54707221195464,293.3815,333.837512,346.84524,370.8799,511.9011,548.2746,610.7296399999999,694.479125976563,694.479125976563
sensor_26,14477,857.121271682669,95.57124725604952,52.35487,643.4048,747.3394599999999,753.3229,912.7559,920.2004,923.7601999999999,947.870144,988.7214
sensor_25,14477,714.2488269709194,70.8953729924642,4.027517,469.513552,646.471,653.4097,738.9966,759.768,763.42816,773.4950439999998,791.0273
sensor_30,14477,698.9815151184637,68.01472808497837,32.87037,616.2037,643.9814,669.4445,689.8148,707.8704,842.6851799999995,898.5740879999992,1181.019
sensor_33,14477,545.8575469275402,65.86902924670619,38.85077,461.86659199999997,482.80854,503.6412,532.5555,589.9518,633.8640999999999,696.3854799999999,1554.094
sensor_24,14477,624.1655235732542,63.797139953190126,88.198,467.603272,605.47604,616.6765,627.2341,629.0228,632.0584600000001,1000.0,1000.0
sensor_21,14477,868.4172721489258,59.04943113223317,156.482,655.954932,856.68256,864.8589,879.5981,881.4595,884.4006,886.926884,899.3026
sensor_34,14477,221.78469211853286,54.874924258571255,118.7913,142.25944,157.9419,174.5997,193.1559,270.5644,303.6579199999998,359.146016,395.0538
sensor_05,14472,45.06038490181191,49.42861609256898,0.0,0.0,0.0,0.0,0.0,99.9998779296875,99.9998779296875,99.99988,99.99988
sensor_19,14477,657.0887012247011,46.83151261378978,0.0,497.39328800000004,648.5925599999999,653.3385,665.4791,666.8512,668.7872,672.09208,758.898
sensor_22,14477,506.07648957311596,46.67910782337519,40.03278,397.924644,458.48879999999997,461.546,532.6485,534.2529,535.77322,536.659816,542.6363
sensor_39,14472,35.15507949327346,45.85510617034447,19.27083,19.270832061767603,19.7916660308838,22.1354160308838,24.4791660308838,28.9062480926514,80.18228799999943,311.5911909999953,481.7708
sensor_40,14472,38.57871581658064,37.52015620214602,23.4375,23.6979160308838,24.47917,27.34375,29.9479160308838,36.4583320617676,64.32291,249.7396,490.1042
sensor_42,14472,35.731935268805266,32.33343427550887,22.1354160308838,22.1354160308838,23.4375,25.26042,28.3854160308838,32.5520820617676,69.38801899999972,162.1302319999995,374.2188
sensor_43,14472,38.934632804591054,32.11820911791901,24.4791660308838,24.73958,25.2604160308838,28.38542,30.989582061767603,38.02083,64.32291,178.50260899999876,408.5937
sensor_37,14477,70.43295333098631,31.901910134589215,0.0,0.01543203,17.697174,45.66668,72.20411999999999,93.00917,122.40867999999998,133.88366399999998,165.4018
sensor_48,14472,37.15130334376489,31.809965763717226,26.331018447876,26.331018447876,27.199073791503896,29.224536895752,31.5393524169922,35.0115737915039,58.1597213745117,174.40396899999834,502.3148
