sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound
sensor_28,normal,205820,834.8054466827241,315.7311036400138,4.3193470000000005,1841.146,940.1863000000001,246.1805999999999,51.9369176,78.948944,773.10465,940.1863000000001,1019.2852499999999,1153.1261499999998,1260.00831,-1.2813385573938443,1.0548512209824814,182.49117865085242,near_constant,51.9369176,1260.00831
sensor_23,normal,205820,915.2071966006395,299.41582007006906,0.0,1227.564,981.54525,139.781875,64.9461738,95.08356,950.940125,981.54525,1090.722,1098.35405,1110.298,-2.149939467961079,3.1057270607186087,103.6188843587843,near_constant,64.9461738,1110.298
sensor_36,normal,205820,594.5127087633588,293.5355414564783,2.26097,983.9208,771.9181000000001,574.1410500000001,56.462809899999996,95.837888,264.171375,771.9181000000001,838.3124250000001,877.123445,914.674382,-0.6264730007110834,-1.2898830802749395,425.6049295774648,near_constant,56.462809899999996,914.674382
sensor_31,normal,205820,851.4005686529043,285.3661937661004,23.95833,1800.0,911.4583,144.2708,76.04166,138.5417,830.7291,911.4583,974.9999,1085.417,1800.0,-0.95061761708933,2.8800647440341987,106.94647887323944,near_constant,76.04166,1800.0
sensor_32,normal,205768,794.855086037072,261.5959899380737,0.2407161,1839.211,876.6474000000001,198.17345000000012,91.755291,131.014785,746.356725,876.6474000000001,944.5301750000001,1013.16265,1208.683739999999,-1.2766554245760784,2.3357092282507335,146.90396590066726,near_constant,91.755291,1208.683739999999
sensor_26,normal,205816,781.4390685861227,253.1867634845105,43.154790000000006,1214.42,854.1813999999999,111.76287500000001,79.72269,108.1995,794.045825,854.1813999999999,905.8087,980.877725,991.5168050000001,-1.9375023602951291,2.5049664562283436,82.84868421052633,near_constant,79.72269,991.5168050000001
sensor_21,normal,205820,791.1488669647609,233.15173543082196,95.52766,1107.526,879.7066,6.648649999999975,125.100466,135.33919,875.54705,879.7066,882.1957,890.8631300000001,901.662247,-2.3086039291212543,3.524268551208344,4.928576723498869,near_constant,125.100466,901.662247
sensor_29,normal,205764,573.0075959982646,230.32291184828756,0.6365742,1466.281,565.69955,219.107075,2.54629683494568,57.203874000000006,520.6567,565.69955,739.763775,811.3491,1033.9835099999998,-0.8328714904420332,1.0510901537516233,162.42184951816162,near_constant,2.54629683494568,1033.9835099999998
sensor_25,normal,205800,644.5656881101467,227.02541734047773,0.0,839.575,740.24325,55.49535000000003,0.0,0.0,694.582675,740.24325,750.078025,761.3403249999999,781.8422,-2.24030295801249,3.3177138362760985,41.138139362490755,near_constant,0.0,781.8422
sensor_19,normal,205820,586.1694598980264,205.05904261336931,0.0,878.9179,665.68865,4.323725000000081,0.0,0.0,662.8460749999999,665.68865,667.1698,672.73466,678.492481,-2.3359180009966423,3.6397331922467266,3.2051334321720395,near_constant,0.0,678.492481
sensor_30,normal,205575,608.6533719501549,200.36201899246558,0.0,1600.0,666.6666,70.8332999999999,72.22222,108.3333,625.4630000000001,666.6666,696.2963,772.6852,931.1388540000044,-1.3966140680885435,2.762345532831916,52.508005930318674,near_constant,72.22222,931.1388540000044
sensor_24,normal,205820,551.4575563949589,186.9128569342206,0.0,1000.0,625.70655,27.984424999999874,0.0,0.0,600.5859,625.70655,628.5703249999999,631.810305,659.432911,-2.271193172786866,3.6809152731404406,20.744570051890197,near_constant,0.0,659.432911
sensor_27,normal,205820,500.0395430975575,172.68601900278605,0.0,2000.0,493.2957,89.64865000000009,82.08391440000001,214.74778500000002,446.336325,493.2957,535.9849750000001,780.4030549999993,1162.843,1.9670769609614551,12.794910334569439,66.45563380281696,near_constant,82.08391440000001,1162.843
sensor_22,normal,205795,456.53725237934225,158.8850187233328,0.0,594.0611,531.7361,54.934799999999996,0.0,0.0,479.3203,531.7361,534.2551,537.78222,544.0978240000001,-2.243653271013688,3.4077527417159086,40.722609340252035,near_constant,0.0,544.0978240000001
sensor_33,normal,205820,482.2234287351885,154.1224372021787,6.460602,1578.6,511.2878,64.69315000000006,44.9434754,69.747575,488.3497,511.2878,553.04285,605.9111,837.0003899999996,-1.462540519055876,3.510286868367494,47.956375092661276,near_constant,44.9434754,837.0003899999996
sensor_35,normal,205820,423.7011115708457,143.80191867799675,0.0,694.479125976563,471.321,177.65199999999993,41.792611900000004,90.21525050000001,349.7464,471.321,527.3983999999999,578.955375,690.6977279999987,-1.1299169320820033,0.7598736772707961,131.69162342475903,near_constant,41.792611900000004,690.6977279999987
sensor_17,normal,205790,418.5704298053522,133.04817489493865,0.0,599.999938964844,462.0167,12.726024999999993,0.0,0.0,454.12955,462.0167,466.855575,480.191665,570.3433349999989,-2.606560945958019,5.2242581871698235,9.433673091178646,near_constant,0.0,570.3433349999989
sensor_16,normal,205805,413.4912144067018,129.73325286190797,0.0,739.7415,462.8291,4.7193000000000325,4.9148692,32.03072,459.539,462.8291,464.2583,466.6503,470.865412,-2.4120210858942546,4.171819086266063,3.4983691623425,near_constant,4.9148692,470.865412
sensor_14,normal,205815,374.1067333866416,116.48033382405465,32.40955,500.0,420.0985,2.76015000000001,36.583549499511705,40.8959,418.20375,420.0985,420.9639,423.73082999999997,430.79187399999995,-2.3133442432297726,3.6094420277763737,2.0460711638250633,near_constant,36.583549499511705,430.79187399999995
sensor_20,normal,205820,358.45104652702327,104.88776062895658,0.0,448.9079,399.3728,2.04200000000003,57.005555699999995,64.82750300000001,398.0567,399.3728,400.0987,403.57232,406.771867,-2.3058867286668323,3.496559590470741,1.5137138621201112,near_constant,57.005555699999995,406.771867
sensor_34,normal,205820,235.8986884820585,90.19350270753834,54.88237,425.5498,227.0549,148.424675,61.706573999999996,65.4716935,172.1806,227.0549,320.605275,364.39826999999997,380.5381,-0.2161598441424109,-0.8590341037282219,110.02570422535211,near_constant,61.706573999999996,380.5381
sensor_48,normal,205814,158.88626764421016,78.70759836055471,28.93518,561.632,146.1227,120.65970999999999,45.138889312744105,59.02778000000001,92.59259,146.1227,213.2523,302.3727,366.6088,0.6753034479497037,-0.10582189643029949,89.44381764269829,near_constant,45.138889312744105,366.6088
sensor_51,normal,193452,200.72087444950557,62.30434136275037,30.9606475830078,1000.0,198.4954,35.59030000000001,46.58565,147.2801,181.4236,198.4954,217.0139,253.1829,294.8495,8.01421617061457,104.2960386653651,26.382727946627142,near_constant,46.58565,294.8495
sensor_04,normal,205822,625.6732839412786,50.82268415049866,2.798032,800.0,633.3333740234381,9.722300000000132,345.699083463867,602.8936,628.2407,633.3333740234381,637.9630000000001,644.7916,649.7685,-8.130662701181938,72.30662664658767,7.207042253521225,near_constant,345.699083463867,649.7685
sensor_37,normal,205820,60.10886551785891,37.88177439489558,0.0,174.9012,63.508845,63.124480000000005,0.0,0.0,27.49936,63.508845,90.62384,119.63580499999998,134.782439,-0.01224246160600187,-0.9964640073233513,46.793535952557455,near_constant,0.0,134.782439
sensor_49,normal,205814,58.569956042613384,17.939210430054985,29.224536895752,458.6227,53.53009,12.442134146728492,39.6412,43.6921310424805,48.90046,53.53009,61.342594146728494,93.1713,126.9502689999973,3.7391188492572205,29.979902941861084,9.22322768475055,near_constant,39.6412,126.9502689999973
sensor_40,normal,205814,70.9709981846353,17.89694439537592,30.46875,512.7604,67.44791,19.531250000000007,45.83333,51.04166,59.11458,67.44791,78.64583,102.0833,127.6042,3.336057291827304,40.31223511291244,14.478317272053378,near_constant,45.83333,127.6042
sensor_46,normal,205814,48.85862615514499,14.677281182507123,29.5138893127441,370.3704,45.13889,10.706019999999995,34.7222213745117,37.326389312744105,41.08796,45.13889,51.79398,71.18056,104.1667,5.41946493787235,55.51217542988552,7.936263899184578,near_constant,34.7222213745117,104.1667
sensor_45,normal,205814,43.78459338869015,12.439904100857333,27.199070000000003,311.3426,40.50926,7.8125,32.4074058532715,34.432868957519496,37.61574,40.50926,45.42824,63.65741,94.03935,5.168674905313017,48.2907519254238,5.7913269088213495,near_constant,32.4074058532715,94.03935
sensor_44,normal,205814,43.3806281029692,11.174819147581365,27.199070000000003,1000.0,40.798610687255895,7.81249827026371,32.1180572509766,33.85417,37.61574172973629,40.798610687255895,45.42824,59.89583,84.20139,10.999867616501936,577.542595708315,5.791325626585404,near_constant,32.1180572509766,84.20139
sensor_39,normal,205814,36.71107384232763,10.593935264258567,21.3541660308838,547.9166,35.67708,6.25,27.34375,29.16667,32.8125,35.67708,39.0625,44.53125,52.34375,18.484092674818065,546.0265021461817,4.633061527057079,near_constant,27.34375,52.34375
sensor_47,normal,205814,45.04710173482113,9.9969734144184,28.93518,220.4861,43.1134262084961,7.233800000000002,34.43287,36.4583320617676,39.6412,43.1134262084961,46.875,60.474540000000005,84.20139,4.936310963242668,45.35074293125055,5.362342475908082,near_constant,34.43287,84.20139
sensor_05,normal,205822,75.38976408261735,9.381706886976913,0.0,99.99988,75.648,10.10164499999999,44.1781028,62.9656435,70.5011575,75.648,80.6028025,89.05558850000001,97.61157,-1.730152889206274,12.083491092957486,7.488246849518155,near_constant,44.1781028,97.61157
sensor_38,normal,205814,50.66402305737356,7.664509644334879,27.6041660308838,408.5937,49.73958,7.8125,37.76041,41.40625,46.09375,49.73958,53.90625,61.71875,71.875,6.875749981190285,224.6279290165654,5.7913269088213495,near_constant,37.76041,71.875
sensor_11,normal,205822,44.769888963101494,7.602400649599189,0.0,60.0,45.98522,9.6247075,13.8274586,34.404871,40.3111775,45.98522,49.935885,54.3259985,57.21660110000001,-1.7463107817123136,6.739223476536797,7.134697924388436,near_constant,13.8274586,57.21660110000001
sensor_43,normal,205814,44.226583481170096,7.487651574327182,28.90625,302.0833,43.22916,6.510420000000003,34.375,36.71875,40.36458,43.22916,46.875,54.42708,65.10416,8.93880484706875,191.30464182912976,4.826108228317275,near_constant,34.375,65.10416
sensor_13,normal,205822,7.572760392618955,6.873284554393043,0.0,31.18755,3.8065255000000002,11.3343965,0.020161998,0.60145702,1.7421235,3.8065255000000002,13.07652,19.94015,21.837500500000008,0.6246317212393353,-1.091176545902632,8.402073017049666,near_constant,0.020161998,21.837500500000008
sensor_12,normal,205822,31.17233926498585,6.802213521012031,0.0,45.0,32.8352,5.248952499999998,4.67750367,15.1436355,29.8611525,32.8352,35.110105,38.136869000000004,40.3851658,-2.0546109154995897,4.9904935476652215,3.8909951816160104,near_constant,4.67750367,40.3851658
sensor_42,normal,205814,35.433286549973104,6.24914009354717,23.95833,330.4688,35.15625,4.42709,28.9062480926514,30.208332061767603,33.07291,35.15625,37.5,40.625,42.96875,24.409906647978946,911.1173538626141,3.28175685693106,near_constant,28.9062480926514,42.96875
sensor_10,normal,205822,44.268913401969684,6.048122078386731,0.0,76.10686,44.69339,6.179440000000007,16.3486762,37.08630900000001,41.513927499999994,44.69339,47.6933675,51.986523,55.468939800000015,-2.537723704455685,14.37362081305102,4.580756115641221,near_constant,16.3486762,55.468939800000015
sensor_41,normal,205814,35.58195128724184,5.2182670421260005,22.39583,219.0104,35.15625,4.94791,28.3854160308838,29.94792,32.8125,35.15625,37.76041,41.92708,46.09375,11.696342496991832,302.78327284813963,3.667835433654559,near_constant,28.3854160308838,46.09375
sensor_01,normal,205497,48.18011560275459,2.240172841721858,0.0,56.727430000000005,48.26389,2.8645799999999966,43.22916,44.35764,46.70139,48.26389,49.56597,51.73611,54.21007,-0.12795286789383917,4.4849676197249115,2.1234840622683446,near_constant,43.22916,54.21007
sensor_02,normal,205822,51.636949288953424,1.8782990350830115,37.41319,56.032990000000005,51.736110687255895,2.256945687255893,45.53862439345705,48.91493,50.65104,51.736110687255895,52.907985687255895,54.2100677490234,54.90451,-1.7887422037844274,8.594280328497707,1.6730509171652284,near_constant,45.53862439345705,54.90451
sensor_03,normal,205822,44.16706022110404,1.668260248563526,33.28993,48.220490000000005,44.357635498046896,2.2135391235350994,39.49652,41.27604,43.142360687255895,44.357635498046896,45.355899810790994,46.6145820617676,47.265625,-0.6924036976772713,1.1600586322088118,1.6408740723017787,near_constant,39.49652,47.265625
sensor_06,normal,205822,13.865072554516981,0.8649434318447331,0.01446759,15.96499,13.67911,1.186350000000001,11.224177000000001,13.057,13.38252,13.67911,14.56887,15.0897,15.19821,-2.7013445356249317,21.822495787720577,0.8794292068198672,near_constant,11.224177000000001,15.19821
sensor_18,normal,205790,2.290436176452834,0.7881439414674937,0.0,4.87325,2.5336305,0.14034674999999996,0.0,0.0,2.447299,2.5336305,2.58764575,2.7392525,3.8613729899999902,-2.1209542526759133,4.0615420425756,0.10403762045959968,near_constant,0.0,3.8613729899999902
sensor_07,normal,205822,16.165958967517327,0.6004569409879202,0.02893518,19.13339,16.16753,0.47743,14.68461,15.625,15.95052,16.16753,16.42795,16.70284,17.62153,-5.080113174778067,70.75084299604254,0.35391401037805786,near_constant,14.68461,17.62153
sensor_08,normal,205822,15.478129193161207,0.588605912974748,0.02893518,19.53848,15.49479,0.5136000000000003,13.99016,14.91609,15.18374,15.49479,15.69734,16.19647,17.15856,-4.6317677649470115,88.86046280525684,0.38072646404744276,near_constant,13.99016,17.15856
sensor_09,normal,205822,15.086661767032783,0.572969384652558,0.007233796,18.98871,15.08247,0.06509999999999927,13.80932,14.79311,15.05353,15.08247,15.11863,15.59606,16.57986,-9.680399617179845,230.47493720590052,0.048257968865826,near_constant,13.80932,16.57986
sensor_00,normal,205822,2.4204760216004546,0.242471833326895,0.0,2.549016,2.456539,0.05509200000000014,0.6837384,2.3011,2.444734,2.456539,2.499826,2.510648,2.519502,-6.782943110934672,49.661594879586964,0.04083914010378068,near_constant,0.6837384,2.519502
