state,feature,non_null_count,iqr,iqr_outlier_count,iqr_outlier_pct
normal,sensor_00,205822,0.05509200000000014,18333,0.08907211085306721
abnormal,sensor_00,7,2.1058159035,0,0.0
recovery,sensor_00,4283,0.1072338013909757,223,0.0520663086621527
normal,sensor_01,205497,2.8645799999999966,3276,0.015941838566986378
abnormal,sensor_01,7,3.5373300000000043,1,0.14285714285714285
recovery,sensor_01,14447,5.685755687255892,29,0.0020073371634249325
normal,sensor_02,205822,2.256945687255893,4074,0.019793802411792714
abnormal,sensor_02,7,3.276913625488305,0,0.0
recovery,sensor_02,14472,6.119792938232401,297,0.020522388059701493
normal,sensor_03,205822,2.2135391235350994,2423,0.011772308110891935
abnormal,sensor_03,7,1.5408015637207058,0,0.0
recovery,sensor_03,14472,5.555560000000007,0,0.0
normal,sensor_04,205822,9.722300000000132,14189,0.06893820874347738
abnormal,sensor_04,7,258.3043975830075,0,0.0
recovery,sensor_04,14472,199.69326829910298,2,0.00013819789939192924
normal,sensor_05,205822,10.10164499999999,6246,0.030346610177726385
abnormal,sensor_05,7,41.12690500000001,0,0.0
recovery,sensor_05,14472,99.9998779296875,0,0.0
normal,sensor_06,205822,1.186350000000001,2741,0.013317332452313164
abnormal,sensor_06,7,6.550200500000001,0,0.0
recovery,sensor_06,9693,10.069444815297723,0,0.0
normal,sensor_07,205822,0.47743,8073,0.03922321229023137
abnormal,sensor_07,7,1.215284999999998,1,0.14285714285714285
recovery,sensor_07,9040,13.773151018656492,0,0.0
normal,sensor_08,205822,0.5136000000000003,7277,0.03535579286956691
abnormal,sensor_08,7,1.1537949999999988,1,0.14285714285714285
recovery,sensor_08,9384,12.717014815297723,0,0.0
normal,sensor_09,205822,0.06509999999999927,59744,0.2902702335027354
abnormal,sensor_09,7,0.7704000000000004,1,0.14285714285714285
recovery,sensor_09,9896,15.046296203824431,0,0.0
normal,sensor_10,205822,6.179440000000007,4816,0.023398859208442247
abnormal,sensor_10,7,9.588850000000004,1,0.14285714285714285
recovery,sensor_10,14472,1.66387165,1921,0.13273908236594803
normal,sensor_11,205822,9.6247075,3901,0.018953270301522676
abnormal,sensor_11,7,30.410491,0,0.0
recovery,sensor_11,14472,0.8563751749999999,2412,0.16666666666666666
normal,sensor_12,205822,5.248952499999998,18235,0.08859597127615124
abnormal,sensor_12,7,15.940530500000001,0,0.0
recovery,sensor_12,14472,0.0,2159,0.14918463239358762
normal,sensor_13,205822,11.3343965,3,1.4575701334162529e-05
abnormal,sensor_13,7,8.969626900000002,0,0.0
recovery,sensor_13,14472,0.0,541,0.03738253178551686
normal,sensor_14,205815,2.76015000000001,54043,0.2625804727546583
abnormal,sensor_14,7,7.029600000000016,1,0.14285714285714285
recovery,sensor_14,14477,11.588000000000022,198,0.013676866754161774
normal,sensor_16,205805,4.7193000000000325,45498,0.2210733461286169
abnormal,sensor_16,7,7.396200000000022,1,0.14285714285714285
recovery,sensor_16,14477,12.785799999999995,297,0.02051530013124266
normal,sensor_17,205790,12.726024999999993,37504,0.1822440351814957
abnormal,sensor_17,7,11.384700000000066,1,0.14285714285714285
recovery,sensor_17,14477,12.63590000000005,425,0.02935691096221593
normal,sensor_18,205790,0.14034674999999996,37448,0.18197191311531172
abnormal,sensor_18,7,0.12071499999999968,1,0.14285714285714285
recovery,sensor_18,14477,0.1386529999999997,418,0.02887338536989708
normal,sensor_19,205820,4.323725000000081,54259,0.26362355456223885
abnormal,sensor_19,7,7.505749999999921,1,0.14285714285714285
recovery,sensor_19,14477,13.512699999999995,437,0.030185811977619673
normal,sensor_20,205820,2.04200000000003,55782,0.27102322417646485
abnormal,sensor_20,7,4.787149999999997,1,0.14285714285714285
recovery,sensor_20,14477,8.305800000000033,363,0.02507425571596325
normal,sensor_21,205820,6.648649999999975,52348,0.2543387425906132
abnormal,sensor_21,7,12.130200000000059,1,0.14285714285714285
recovery,sensor_21,14477,16.6006000000001,399,0.027560958762174483
normal,sensor_22,205795,54.934799999999996,27867,0.13541145314512015
abnormal,sensor_22,7,72.9393,1,0.14285714285714285
recovery,sensor_22,14477,72.70689999999996,127,0.008772535746356289
normal,sensor_23,205820,139.781875,26070,0.1266640754056943
abnormal,sensor_23,7,94.53949999999986,1,0.14285714285714285
recovery,sensor_23,14477,140.82950000000005,127,0.008772535746356289
normal,sensor_24,205820,27.984424999999874,30391,0.14765814789622
abnormal,sensor_24,7,9.884650000000079,1,0.14285714285714285
recovery,sensor_24,14477,12.346299999999928,835,0.05767769565517718
normal,sensor_25,205800,55.49535000000003,28234,0.13719144800777452
abnormal,sensor_25,7,91.15575000000001,1,0.14285714285714285
recovery,sensor_25,14477,106.35829999999999,154,0.010637563031014713
normal,sensor_26,205816,111.76287500000001,28003,0.13605842111400474
abnormal,sensor_26,7,156.61665000000005,1,0.14285714285714285
recovery,sensor_26,14477,166.87749999999994,132,0.009117911169441183
normal,sensor_27,205820,89.64865000000009,31109,0.15114663298027403
abnormal,sensor_27,7,46.25464999999997,1,0.14285714285714285
recovery,sensor_27,14477,54.890499999999975,1284,0.08869240864820059
normal,sensor_28,205820,246.1805999999999,28070,0.13638130405208435
abnormal,sensor_28,7,92.18650000000002,1,0.14285714285714285
recovery,sensor_28,14477,101.89300000000003,304,0.02099882572356151
normal,sensor_29,205764,219.107075,26499,0.12878346066367294
abnormal,sensor_29,7,215.42439999999988,1,0.14285714285714285
recovery,sensor_29,14477,266.8256,41,0.002832078469296125
normal,sensor_30,205575,70.8332999999999,35656,0.1734452146418582
abnormal,sensor_30,7,38.88895000000002,1,0.14285714285714285
recovery,sensor_30,14477,38.42590000000007,1559,0.10768805691786973
normal,sensor_31,205820,144.2708,31015,0.15068992323389369
abnormal,sensor_31,7,54.16685000000007,1,0.14285714285714285
recovery,sensor_31,14477,85.93759999999997,1676,0.11576984181805623
normal,sensor_32,205768,198.17345000000012,24695,0.12001380195171261
abnormal,sensor_32,7,129.51840000000004,1,0.14285714285714285
