sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound
sensor_23,abnormal,7,880.2364385714284,350.8582169603938,96.38937,1093.579,982.5069,94.53949999999986,147.2644698,350.76486900000003,950.0252,982.5069,1044.5647,1092.9532,1093.45384,-2.480152003083283,6.36120735854481,70.08117123795394,left_skewed,147.2644698,1093.45384
sensor_28,abnormal,7,971.2228857142856,318.85909228815285,258.0632,1161.131,1063.003,92.18650000000002,303.96936800000003,487.59404000000006,1032.9975,1063.003,1125.184,1159.1132,1160.7274400000001,-2.49387907995018,6.402939257789912,68.33691623424761,left_skewed,303.96936800000003,1160.7274400000001
sensor_26,abnormal,7,758.1914428571429,279.5717563832516,156.3189,981.4561,854.0722,156.61665000000005,191.823498,333.84189000000003,750.5649,854.0722,907.18155,971.07292,979.379464,-2.1142603183501016,4.928183788726854,116.0983320978503,left_skewed,191.823498,979.379464
sensor_21,abnormal,7,774.7598285714287,272.08042098668005,158.0601,885.1603,880.8264,12.130200000000059,200.07827400000002,368.15097000000003,868.7529,880.8264,880.8831,883.88977,884.906194,-2.6400549893404075,6.976518308117079,8.991994069681288,left_skewed,200.07827400000002,884.906194
sensor_29,abnormal,7,611.0224571428571,242.46965071815936,109.4662,784.2626,724.8124,215.42439999999988,135.974764,242.00902000000002,556.9418000000001,724.8124,772.3661999999999,784.06757,784.223594,-1.8218343856781571,3.478926082358356,159.69191994069672,left_skewed,135.974764,784.223594
sensor_25,abnormal,7,630.5649428571429,219.36161750755957,143.1029,759.8998,719.8438,91.15575000000001,173.544326,295.31003000000004,652.19915,719.8438,743.3549,755.74066,759.067972,-2.4329018820094443,6.11435634279529,67.57283172720534,left_skewed,173.544326,759.067972
sensor_19,abnormal,7,584.4904428571429,209.7625200362532,108.949,669.1102,665.4158,7.505749999999921,141.546352,271.93576,658.23665,665.4158,665.7424,668.1591999999999,668.92,-2.642160422617823,6.98528791900884,5.563936249073329,left_skewed,141.546352,668.92
sensor_36,abnormal,7,438.4638142857143,205.9404209985696,250.9113,812.8298,367.8615,232.33185000000003,252.97756800000002,261.24264,293.2451,367.8615,525.57695,754.0503499999999,801.0739099999998,1.202699308391523,0.521280772579189,172.22524091919942,right_skewed,252.97756800000002,801.0739099999998
sensor_24,abnormal,7,549.1987,196.4661982291271,103.7937,628.2361,625.123,9.884650000000079,134.446794,257.05917,616.8671999999999,625.123,626.75185,627.87685,628.1642499999999,-2.642316654231709,6.9860335516403715,7.32739065974802,left_skewed,134.446794,628.1642499999999
sensor_27,abnormal,7,446.49507428571434,190.36787955260544,21.31752,570.8168,502.5955,46.25464999999997,48.738892799999995,158.42438400000003,484.5566,502.5955,530.81125,565.06277,569.665994,-2.47664520993689,6.351502412080693,34.28810229799849,left_skewed,48.738892799999995,569.665994
sensor_32,abnormal,7,814.2010857142857,187.7476896775424,436.256,1013.376,849.8132,129.51840000000004,454.618298,528.06749,785.2314,849.8132,914.7498,993.5739599999999,1009.415592,-1.541960513215643,2.9912837455601,96.01067457375838,left_skewed,454.618298,1009.415592
sensor_04,abnormal,7,334.6721995779855,173.9637059437454,200.11573791503895,612.1528,206.038757324219,258.3043975830075,200.19091094970693,200.49160308837887,201.94732666015648,206.038757324219,460.251724243164,578.5069599999999,605.4236319999999,0.7656288997342501,-1.3481992910011238,191.47842667383804,bounded_normal,200.19091094970693,605.4236319999999
sensor_31,abnormal,7,936.9047428571429,162.35203993755727,575.0,1037.5,971.8749,54.16685000000007,598.156244,690.7812200000001,966.40615,971.8749,1020.5730000000001,1033.5937,1036.71874,-2.4593420720555366,6.260375368684308,40.15333580429953,left_skewed,598.156244,1036.71874
sensor_30,abnormal,7,629.4311857142857,147.90799579209627,297.2222,710.6481,671.2963,38.88895000000002,318.722198,404.72219,662.26845,671.2963,701.1574,708.56478,710.231436,-2.540755126452704,6.576690259841273,28.82798369162344,left_skewed,318.722198,710.231436
sensor_39,abnormal,7,86.75595285714284,145.8022059488423,22.13542,417.1875,32.8125,6.901035000000004,22.557295,24.244795,30.338545,32.8125,37.239580000000004,303.7499999999997,394.49999999999983,2.638439046406101,6.970765493404343,5.115667160859899,right_skewed,22.557295,394.49999999999983
sensor_22,abnormal,7,449.7530571428571,145.62789355410655,128.2272,536.3282,498.6224,72.9393,148.033512,227.25876,459.80375000000004,498.6224,532.74305,535.51376,536.1653120000001,-2.366852415683787,5.851729038424491,54.06916234247591,left_skewed,148.033512,536.1653120000001
sensor_40,abnormal,7,118.82439714285715,138.11076241157852,36.71875,427.3437,71.61458,42.057305,36.8749996,37.499998,52.99478499999999,71.61458,95.05208999999999,329.9999699999998,407.87495399999983,2.482436786111093,6.347284397901014,31.176653076352853,right_skewed,36.8749996,407.87495399999983
sensor_35,abnormal,7,472.43953228236614,129.39580881977636,350.3117,694.479125976563,411.1652,172.35555,350.53754,351.4409,376.6024,411.1652,548.95795,658.742338183594,687.3317684179691,0.8679545204610449,-0.38792245246368395,127.76541882876204,bounded_normal,350.53754,687.3317684179691
