sensor,state_scope,count,mean,std,min,max,median,iqr,p01,p05,p25,p50,p75,p95,p99,skewness,kurtosis,robust_std,distribution_family,lower_bound,upper_bound
sensor_51,recovery,11479,236.03042320317394,384.4801309795196,27.7777786254883,1000.0,36.16898,51.9386570733643,27.77778,28.06713,31.8287029266357,36.16898,83.76736,1000.0,1000.0,1.4674744489990585,0.1863555770361076,38.501599016578425,right_skewed,27.77778,1000.0
sensor_36,recovery,14477,572.0839971642788,221.12416671138268,189.3092,984.0607,682.2244,395.72970000000004,238.619808,286.27912000000003,312.8531,682.2244,708.5828,892.3458799999996,961.332368,-0.13885944214475748,-1.415998470800127,293.3504077094144,bounded_normal,238.619808,961.332368
sensor_32,recovery,14477,938.2952310188574,203.31518605170078,65.57249,1838.657,908.9795,108.98570000000007,685.9631760000001,738.95948,830.3393,908.9795,939.325,1499.3511999999998,1532.0054,1.8106683700518242,3.7405975904256135,80.78999258710161,right_skewed,685.9631760000001,1532.0054
sensor_31,recovery,14477,1032.7905597195552,186.9576315504921,88.54166,1800.0,989.0624,85.93759999999997,806.791608,887.9166200000001,945.3124,989.0624,1031.25,1513.1251999999993,1800.0,2.5066038262577903,6.867139187614516,63.70467012601926,right_skewed,806.791608,1800.0
sensor_29,recovery,14477,621.4858954919528,138.6457401910704,3.209324,873.346,534.1785,266.8256,373.831252,491.29346,514.5969,534.1785,781.4225,804.9833199999999,811.804344,0.007414301466610959,-0.6304154513097529,197.79510748702745,bounded_normal,373.831252,811.804344
sensor_27,recovery,14477,522.3902305286057,120.12985734122587,0.0,1388.7720000000002,503.6285,54.890499999999975,80.3300676,451.48236,483.4059,503.6285,538.2964,849.2244399999997,972.26584,1.3346411765009396,8.63788046516273,40.68977020014824,right_skewed,80.3300676,972.26584
sensor_04,recovery,14472,93.034093384928,117.95670422824756,2.798032,611.6898,3.56770825386047,199.69326829910298,2.7980322837829603,3.02951383590698,3.3362269401550297,3.56770825386047,203.029495239258,272.008101940155,471.5786842346192,0.936113548602175,0.05623198303606891,148.03059177101778,bounded_normal,2.7980322837829603,471.5786842346192
sensor_28,recovery,14477,1091.6856276922015,112.2948550761809,113.0882,1422.5770000000002,1066.251,101.89300000000003,424.0471,1033.1684,1049.014,1066.251,1150.907,1219.1606000000002,1254.4813199999999,-4.565695794363654,33.87078108506445,75.53224610822834,left_skewed,424.0471,1254.4813199999999
sensor_23,recovery,14477,1027.8651950093251,97.87512868335365,62.51734,1107.556,1088.613,140.82950000000005,810.660276,938.34814,950.6765,1088.613,1091.506,1094.1592,1096.12516,-4.301118702232602,32.638821260545356,104.39547813194963,left_skewed,810.660276,1096.12516
sensor_35,recovery,14477,475.85392426700815,96.54707221195464,293.3815,694.479125976563,511.9011,177.39469999999994,333.837512,346.84524,370.8799,511.9011,548.2746,610.7296399999999,694.479125976563,0.04763764078393341,-1.153711405698304,131.50088954781316,bounded_normal,333.837512,694.479125976563
sensor_26,recovery,14477,857.121271682669,95.57124725604952,52.35487,988.7214,912.7559,166.87749999999994,643.4048,747.3394599999999,753.3229,912.7559,920.2004,923.7601999999999,947.870144,-3.0406600328225744,17.6764455977476,123.7045959970348,left_skewed,643.4048,947.870144
sensor_25,recovery,14477,714.2488269709194,70.8953729924642,4.027517,791.0273,738.9966,106.35829999999999,469.513552,646.471,653.4097,738.9966,759.768,763.42816,773.4950439999998,-4.3473140389232094,31.49260523797362,78.84232765011119,left_skewed,469.513552,773.4950439999998
sensor_30,recovery,14477,698.9815151184637,68.01472808497837,32.87037,1181.019,689.8148,38.42590000000007,616.2037,643.9814,669.4445,689.8148,707.8704,842.6851799999995,898.5740879999992,0.5571516159320523,16.365426633070022,28.484729429206872,bounded_normal,616.2037,898.5740879999992
sensor_33,recovery,14477,545.8575469275402,65.86902924670619,38.85077,1554.094,532.5555,86.31060000000002,461.86659199999997,482.80854,503.6412,532.5555,589.9518,633.8640999999999,696.3854799999999,2.6275777329146797,49.2043863132335,63.98117123795406,right_skewed,461.86659199999997,696.3854799999999
sensor_24,recovery,14477,624.1655235732542,63.797139953190126,88.198,1000.0,627.2341,12.346299999999928,467.603272,605.47604,616.6765,627.2341,629.0228,632.0584600000001,1000.0,0.04131204296548311,37.00320336387934,9.152186805040717,bounded_normal,467.603272,1000.0
sensor_21,recovery,14477,868.4172721489258,59.04943113223317,156.482,899.3026,879.5981,16.6006000000001,655.954932,856.68256,864.8589,879.5981,881.4595,884.4006,886.926884,-9.485362585689847,97.37125539341231,12.305856189770275,left_skewed,655.954932,886.926884
sensor_34,recovery,14477,221.78469211853286,54.874924258571255,118.7913,395.0538,193.1559,95.96469999999997,142.25944,157.9419,174.5997,193.1559,270.5644,303.6579199999998,359.146016,0.48721943595318656,-0.876557281853994,71.13765752409189,bounded_normal,142.25944,359.146016
sensor_05,recovery,14472,45.06038490181191,49.42861609256898,0.0,99.99988,0.0,99.9998779296875,0.0,0.0,0.0,0.0,99.9998779296875,99.9998779296875,99.99988,0.19825498445343587,-1.949939729175655,74.12889394343031,bounded_normal,0.0,99.99988
sensor_19,recovery,14477,657.0887012247011,46.83151261378978,0.0,758.898,665.4791,13.512699999999995,497.39328800000004,648.5925599999999,653.3385,665.4791,666.8512,668.7872,672.09208,-9.691840065512984,104.07134089349844,10.016827279466268,left_skewed,497.39328800000004,672.09208
sensor_22,recovery,14477,506.07648957311596,46.67910782337519,40.03278,542.6363,532.6485,72.70689999999996,397.924644,458.48879999999997,461.546,532.6485,534.2529,535.77322,536.659816,-4.024004193720442,28.108141815438024,53.89688658265379,left_skewed,397.924644,536.659816
sensor_39,recovery,14472,35.15507949327346,45.85510617034447,19.27083,481.7708,24.4791660308838,6.770832061767599,19.270832061767603,19.7916660308838,22.1354160308838,24.4791660308838,28.9062480926514,80.18228799999943,311.5911909999953,6.638961076719667,50.33052274207629,5.0191490450464045,right_skewed,19.270832061767603,311.5911909999953
