cluster_id,cluster_size,sensors,mean_abs_corr_within_cluster,min_abs_corr_within_cluster,supporting_pair_count,source_method
9,7,"sensor_19, sensor_20, sensor_21, sensor_22, sensor_23, sensor_24, sensor_25",0.9874874695143674,0.9737462211900111,15,silver_eda_mutual_topk_abs_corr
1,6,"sensor_00, sensor_04, sensor_06, sensor_07, sensor_10, sensor_11",0.641164662303522,0.56536239363374,11,silver_eda_mutual_topk_abs_corr
4,6,"sensor_38, sensor_39, sensor_41, sensor_42, sensor_43, sensor_47",0.5118187131919254,0.28079424927472196,11,silver_eda_mutual_topk_abs_corr
5,4,"sensor_44, sensor_45, sensor_46, sensor_49",0.45141674277028543,0.2932512875635839,5,silver_eda_mutual_topk_abs_corr
10,3,"sensor_31, sensor_32, sensor_33",0.8662673375444638,0.8635040414275422,2,silver_eda_mutual_topk_abs_corr
11,3,"sensor_34, sensor_35, sensor_36",0.7851488438862644,0.7608617580636833,3,silver_eda_mutual_topk_abs_corr
6,3,"sensor_13, sensor_37, sensor_48",0.5063063592734025,0.480931454725268,3,silver_eda_mutual_topk_abs_corr
3,3,"sensor_01, sensor_02, sensor_03",0.4029611154881503,0.2771977736629689,3,silver_eda_mutual_topk_abs_corr
7,2,"sensor_14, sensor_16",0.9903170552354904,0.9903170552354904,1,silver_eda_mutual_topk_abs_corr
8,2,"sensor_17, sensor_18",0.9835531348637979,0.9835531348637979,1,silver_eda_mutual_topk_abs_corr
2,2,"sensor_08, sensor_09",0.7521974051647092,0.7521974051647092,1,silver_eda_mutual_topk_abs_corr
