sensor_a,sensor_b,correlation_contaminated,abs_correlation_contaminated,correlation_clean,abs_correlation_clean,correlation_delta,abs_correlation_delta
sensor_21,sensor_25,0.9243812992714525,0.9243812992714525,0.018932826631141993,0.018932826631141993,0.9054484726403105,0.9054484726403105
sensor_19,sensor_24,0.9323516756003332,0.9323516756003332,-0.02854806591241717,0.02854806591241717,0.9608997415127504,0.903803609687916
sensor_21,sensor_26,0.9280588027889771,0.9280588027889771,-0.02437883344490404,0.02437883344490404,0.9524376362338811,0.9036799693440731
sensor_20,sensor_25,0.8983203966474739,0.8983203966474739,-0.0023474350157340305,0.0023474350157340305,0.9006678316632079,0.8959729616317399
sensor_19,sensor_25,0.9078854986542537,0.9078854986542537,0.03425000014352982,0.03425000014352982,0.8736354985107239,0.8736354985107239
sensor_21,sensor_24,0.8983707172877972,0.8983707172877972,-0.030517226049862112,0.030517226049862112,0.9288879433376592,0.8678534912379351
sensor_20,sensor_26,0.9016104854602331,0.9016104854602331,-0.04997240157644881,0.04997240157644881,0.9515828870366819,0.8516380838837844
sensor_19,sensor_26,0.8684993262170714,0.8684993262170714,-0.023123927215434388,0.023123927215434388,0.8916232534325058,0.8453753990016369
sensor_23,sensor_25,0.9049773372368063,0.9049773372368063,0.06993479318382126,0.06993479318382126,0.8350425440529851,0.8350425440529851
sensor_20,sensor_24,0.8699361527266569,0.8699361527266569,-0.035950020295969054,0.035950020295969054,0.905886173022626,0.8339861324306879
sensor_20,sensor_23,0.9431316251329971,0.9431316251329971,0.12330701941519391,0.12330701941519391,0.8198246057178031,0.8198246057178031
sensor_14,sensor_23,0.8226936902766687,0.8226936902766687,0.023625994926414706,0.023625994926414706,0.799067695350254,0.799067695350254
sensor_26,sensor_28,0.8162113488917421,0.8162113488917421,0.03254802416259599,0.03254802416259599,0.7836633247291461,0.7836633247291461
sensor_14,sensor_25,0.848284432437361,0.848284432437361,0.07353086257653889,0.07353086257653889,0.7747535698608221,0.7747535698608221
sensor_20,sensor_36,0.7748572563529605,0.7748572563529605,-0.000698600185833482,0.000698600185833482,0.775555856538794,0.7741586561671271
sensor_24,sensor_25,0.8540489729008323,0.8540489729008323,0.08769182384181665,0.08769182384181665,0.7663571490590156,0.7663571490590156
sensor_14,sensor_24,0.7801281417750486,0.7801281417750486,0.015968925241094844,0.015968925241094844,0.7641592165339538,0.7641592165339538
sensor_25,sensor_31,0.7877398879388557,0.7877398879388557,-0.03104947904639459,0.03104947904639459,0.8187893669852503,0.7566904088924612
sensor_16,sensor_25,0.8002987817002789,0.8002987817002789,0.04440624880360125,0.04440624880360125,0.7558925328966777,0.7558925328966777
sensor_20,sensor_28,0.7703616712797015,0.7703616712797015,-0.017181510195626908,0.017181510195626908,0.7875431814753283,0.7531801610840746
sensor_21,sensor_23,0.9568565053944406,0.9568565053944406,0.20528318622481093,0.20528318622481093,0.7515733191696297,0.7515733191696297
sensor_25,sensor_28,0.7792538405302027,0.7792538405302027,-0.028102532057722517,0.028102532057722517,0.8073563725879253,0.7511513084724802
sensor_21,sensor_36,0.7705790431456078,0.7705790431456078,0.021315472721727634,0.021315472721727634,0.7492635704238801,0.7492635704238801
sensor_16,sensor_24,0.7467320803955374,0.7467320803955374,0.004453643539860425,0.004453643539860425,0.742278436855677,0.742278436855677
sensor_21,sensor_31,0.8110775470578006,0.8110775470578006,-0.07273344224707998,0.07273344224707998,0.8838109893048806,0.7383441048107205
sensor_20,sensor_31,0.7750958640854908,0.7750958640854908,-0.047143866022528236,0.047143866022528236,0.8222397301080191,0.7279519980629625
sensor_17,sensor_24,0.7558484075450499,0.7558484075450499,-0.034724535618866854,0.034724535618866854,0.7905729431639168,0.721123871926183
sensor_14,sensor_26,0.7622891957165647,0.7622891957165647,0.04374055329705058,0.04374055329705058,0.7185486424195141,0.7185486424195141
sensor_10,sensor_11,0.724650190208807,0.724650190208807,-0.006927081116657733,0.006927081116657733,0.7315772713254648,0.7177231090921493
