group_name,sensor
subsystem_01,sensor_14
subsystem_01,sensor_16
subsystem_02,sensor_17
subsystem_02,sensor_18
subsystem_03,sensor_40
subsystem_03,sensor_43
subsystem_04,sensor_41
subsystem_04,sensor_42
subsystem_05,sensor_00
subsystem_06,sensor_01
subsystem_07,sensor_02
subsystem_08,sensor_03
subsystem_09,sensor_04
subsystem_10,sensor_05
subsystem_11,sensor_06
subsystem_12,sensor_07
subsystem_13,sensor_08
subsystem_14,sensor_09
subsystem_15,sensor_10
subsystem_16,sensor_11
subsystem_17,sensor_12
subsystem_18,sensor_13
subsystem_19,sensor_19
subsystem_20,sensor_20
subsystem_21,sensor_21
subsystem_22,sensor_22
subsystem_23,sensor_23
subsystem_24,sensor_24
subsystem_25,sensor_25
subsystem_26,sensor_26
subsystem_27,sensor_27
subsystem_28,sensor_28
subsystem_29,sensor_29
subsystem_30,sensor_30
subsystem_31,sensor_31
subsystem_32,sensor_32
subsystem_33,sensor_33
subsystem_34,sensor_34
subsystem_35,sensor_35
subsystem_36,sensor_36
subsystem_37,sensor_37
subsystem_38,sensor_38
subsystem_39,sensor_39
subsystem_40,sensor_44
subsystem_41,sensor_45
subsystem_42,sensor_46
subsystem_43,sensor_47
subsystem_44,sensor_48
subsystem_45,sensor_49
subsystem_46,sensor_51
