sensor,baseline_window_count,baseline_row_count,baseline_median,baseline_mean,baseline_std,baseline_q05,baseline_q25,baseline_q75,baseline_q95,baseline_iqr,baseline_delta_median,baseline_delta_abs_median,baseline_delta_abs_q95,baseline_delta_iqr,baseline_missing_pct
sensor_00,32,122917,2.4555555,2.453933946601096,0.021656935519507946,2.4201390000000003,2.45162,2.467853,2.4998265,0.01229749999999985,0.0,0.006885999999999948,0.014756999999999909,0.01278899999999994,2.318822656443235e-05
sensor_01,32,122917,47.5477395617676,47.3461374247141,1.0728917613433238,45.811629999999994,46.6145810308838,48.328992843627944,49.435765,1.73611,0.0,0.04339999999999833,0.13020499999999657,0.08679999999999666,0.0008127493967771982
sensor_02,32,122917,50.911455,51.11085337075256,0.8895680925413931,49.62130840240478,50.34721902267454,51.909720444488514,52.79404921813965,1.3020802490234473,0.0,4.750976554390718e-06,0.08680999999999983,0.043403436279298546,2.318822656443235e-05
sensor_03,32,122917,43.2942720617676,43.53245284051479,1.1644806193478556,41.9053810308838,42.7734360308838,44.357635498046896,45.76822662353515,1.7361105926514036,0.0,0.0,0.0434100000000015,0.0,2.318822656443235e-05
sensor_04,32,122917,631.4814,631.438684860384,6.059046880985344,622.0225675,627.4884,635.4745,642.2019849999999,7.986100000000022,0.0,5.20829999999998,15.740699999999947,10.368549999999985,2.318822656443235e-05
sensor_05,32,122917,78.49091,78.7013685279505,5.357764394426605,69.54361349999999,75.0487575,81.644435,86.27691124999998,7.199953749999999,0.0,0.9266874999999963,2.906345999999995,1.8610500000000059,2.318822656443235e-05
sensor_06,32,122917,13.59954,13.577165383944156,0.2389747300095381,13.26678,13.509115000000001,13.64294,14.127605,0.3255200000000009,0.0,0.0578700000000012,0.17722500000000085,0.11574000000000151,2.318822656443235e-05
sensor_07,32,122917,16.14583,16.117438423723787,0.23159968602179198,15.664785000000002,15.993924999999997,16.2037,16.319444999999998,0.31467000000000045,0.0,0.043400000000000105,0.1229747499999994,0.08680000000000021,2.318822656443235e-05
sensor_08,32,122917,15.37182,15.395330527461194,0.24806031119897065,15.07523,15.18374,15.574365,15.834779999999999,0.26764999999999883,0.0,0.1374399999999989,0.4231749999999988,0.267646249999999,2.318822656443235e-05
sensor_09,32,122917,15.08247,15.083338713302151,0.197088976865531,14.93779,15.05353,15.11863,15.16204,0.20253999999999994,0.0,0.03616499999999867,0.108509999999999,0.07232999999999734,2.318822656443235e-05
sensor_10,32,122917,46.268097499999996,46.11838220339585,3.3385891686424216,41.026819,44.09555375,48.1870275,51.89866025,4.132474999999996,0.0,0.45298750000000076,1.5645224999999994,0.9045287499999981,2.318822656443235e-05
sensor_11,32,122917,45.6033175,45.69601021507794,2.804859083402092,40.66439125,43.72561625,47.5166075,50.74572675,3.314109999999996,-0.005072500000002478,0.31867499999999893,1.0696602500000005,0.63319875,2.318822656443235e-05
